,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 16:00 SGTWorld's Edge DreamFire Team Burger StinkyB","Round 1 Round 1 October 23, 2021 - 16:00 SGTWorld's Edge DreamFire Team Burger StinkyB","Round 2 Round 2 October 23, 2021 - 16:35 SGTWorld's Edge BRP Perangai Esport Team Burger","Round 2 Round 2 October 23, 2021 - 16:35 SGTWorld's Edge BRP Perangai Esport Team Burger","Round 3 Round 3 October 23, 2021 - 17:10 SGTWorld's Edge Reckless Lads XV Lightning Unicorn MBT.NAGA","Round 3 Round 3 October 23, 2021 - 17:10 SGTWorld's Edge Reckless Lads XV Lightning Unicorn MBT.NAGA","Round 4 Round 4 October 23, 2021 - 17:45 SGTWorld's Edge SnG Lightning Unicorn Monkeyz","Round 4 Round 4 October 23, 2021 - 17:45 SGTWorld's Edge SnG Lightning Unicorn Monkeyz","Round 5 Round 5 October 23, 2021 - 18:20 SGTWorld's Edge 404 Not Found StinkyB Inside The Ring","Round 5 Round 5 October 23, 2021 - 18:20 SGTWorld's Edge 404 Not Found StinkyB Inside The Ring","Round 6 Round 6 October 23, 2021 - 18:55 SGTWorld's Edge StinkyB SnG DreamFire","Round 6 Round 6 October 23, 2021 - 18:55 SGTWorld's Edge StinkyB SnG DreamFire"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STB,77,3,10,19,1,7,7,12,1,2,8,1,18
1,2.0,ITR,52,5,3,6,2,4,6,4,6,3,1,7,7
2,3.0,LU,50,17,0,5,7,2,7,2,9,15,4,20,0
3,4.0,DF,48,1,19,20,1,18,0,19,2,14,0,3,6
4,5.0,BRP,48,4,3,1,8,6,2,13,0,4,5,8,2
5,6.0,BRGR,46,2,10,3,7,5,3,16,0,6,3,17,0
6,7.0,SNG,45,6,1,18,3,17,3,1,11,12,1,2,1
7,8.0,404,40,7,4,7,1,11,1,14,5,1,8,12,0
8,9.0,PG,39,12,1,2,6,13,2,9,3,5,6,10,2
9,10.0,MBTN,37,11,0,4,6,3,9,7,0,18,0,5,2
10,11.0,RL.XV,35,10,2,17,0,1,12,20,0,17,0,13,6
11,12.0,PWLS,27,9,1,13,0,20,0,6,6,8,3,4,4
12,13.0,MON,25,18,0,9,4,16,0,3,6,9,4,18,0
13,14.0,WGG,23,13,0,15,0,12,4,10,1,7,1,6,6
14,15.0,DML,16,8,5,10,2,8,0,8,0,20,0,14,0
15,16.0,Magic,16,19,0,12,1,9,1,5,3,19,1,9,1
16,17.0,MDY,15,14,0,14,0,19,0,18,1,11,7,15,3
17,18.0,INF,15,15,0,8,4,15,0,15,0,10,0,11,3
18,19.0,WHIZ,8,16,0,16,2,14,0,17,1,13,3,19,0
19,20.0,O3,8,20,0,11,1,10,0,11,1,16,1,16,1
