,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 12:00 SGTWorld's Edge Estrell Reckless Lads XV Method2Madness","Round 1 Round 1 November 20, 2021 - 12:00 SGTWorld's Edge Estrell Reckless Lads XV Method2Madness","Round 2 Round 2 November 20, 2021 - 12:35 SGTWorld's Edge Inside The Ring Reignite Xenomorph","Round 2 Round 2 November 20, 2021 - 12:35 SGTWorld's Edge Inside The Ring Reignite Xenomorph","Round 3 Round 3 November 20, 2021 - 13:10 SGTWorld's Edge DreamFire BRP MBF","Round 3 Round 3 November 20, 2021 - 13:10 SGTWorld's Edge DreamFire BRP MBF","Round 4 Round 4 November 20, 2021 - 13:45 SGTWorld's Edge NXL WOLFPACK Estrell Reignite","Round 4 Round 4 November 20, 2021 - 13:45 SGTWorld's Edge NXL WOLFPACK Estrell Reignite","Round 5 Round 5 November 20, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB MBF","Round 5 Round 5 November 20, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB MBF","Round 6 Round 6 November 20, 2021 - 14:55 SGTWorld's Edge We Are Trash WHIZ MBF","Round 6 Round 6 November 20, 2021 - 14:55 SGTWorld's Edge We Are Trash WHIZ MBF"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,75,8,4,2,13,13,5,3,8,1,7,7,4
1,2.0,MBF,53,19,0,10,5,3,6,11,5,3,6,3,7
2,3.0,WAT,52,12,3,5,4,11,1,4,3,8,3,1,13
3,4.0,NXL,47,11,4,9,6,18,0,1,14,19,3,12,4
4,5.0,BRP,47,4,3,4,0,2,8,19,0,4,8,6,1
5,6.0,Estrell,43,1,11,12,0,9,0,2,3,11,2,10,0
6,7.0,ITR,40,7,0,1,9,6,1,6,0,6,1,15,4
7,8.0,PG,38,15,0,7,5,5,7,8,2,5,3,5,3
8,9.0,M2M,36,3,10,6,3,19,0,9,2,7,5,19,1
9,10.0,RL.XV,32,2,9,17,0,12,0,20,0,12,1,4,6
10,11.0,WHIZ,32,17,0,15,0,7,1,7,2,10,6,2,5
11,12.0,MDY,31,9,3,11,2,4,5,10,5,17,0,8,4
12,13.0,STB,31,5,2,18,0,16,3,14,0,2,8,9,2
13,14.0,DF,29,13,2,16,0,1,10,12,2,15,0,16,0
14,15.0,PHN,23,10,2,13,0,17,3,5,8,9,1,17,0
15,16.0,MON,13,16,0,8,3,10,3,16,0,16,0,11,2
16,17.0,EVO BERZ,13,14,0,14,0,8,2,17,3,14,1,14,1
17,18.0,Xenomorph,13,20,0,3,4,15,0,15,0,18,0,20,0
18,19.0,Pavlova,9,6,5,20,0,14,0,18,0,20,0,18,0
19,20.0,GS,8,18,0,19,0,20,1,13,0,13,1,13,3
