Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,DNZY,75,16,0,3,11,2,7,1,17,6,8,13,0,Lobby 1
2.0,Phantom,66,19,0,1,6,1,12,15,3,4,7,4,3,Lobby 1
3.0,AVG,59,1,18,15,1,5,2,6,13,19,0,12,4,Lobby 1
4.0,MDYB,58,13,1,2,7,19,0,9,1,9,2,1,21,Lobby 1
5.0,HAKA,45,4,4,13,0,10,2,2,7,10,0,2,4,Lobby 1
6.0,Lowkey,43,2,10,8,0,12,0,3,2,2,3,16,0,Lobby 1
7.0,iON-H,34,11,0,4,6,3,4,10,1,7,3,9,0,Lobby 1
8.0,姐妹花,32,8,2,17,3,16,0,11,0,1,11,15,0,Lobby 1
9.0,ARENA,30,9,4,14,1,11,1,20,0,3,8,8,3,Lobby 1
10.0,END2,29,5,3,11,4,7,2,12,3,13,5,14,1,Lobby 1
11.0,JET,25,20,0,5,9,13,6,17,0,18,0,10,3,Lobby 1
12.0,YTS,24,18,3,7,4,4,8,19,0,16,0,20,1,Lobby 1
13.0,Horizon,22,15,5,19,0,17,3,13,3,14,1,7,4,Lobby 1
14.0,ASC,22,6,2,6,1,6,0,16,0,5,4,17,2,Lobby 1
15.0,Sanity,22,3,2,9,0,9,2,5,2,11,0,19,0,Lobby 1
16.0,DRG,21,12,0,12,1,14,3,4,2,17,0,5,3,Lobby 1
17.0,RZ,20,10,0,10,0,18,1,14,1,20,0,3,6,Lobby 1
18.0,RYU,16,14,1,18,0,8,0,7,1,8,0,6,3,Lobby 1
19.0,INX,13,7,1,16,0,15,3,8,1,15,1,18,0,Lobby 1
20.0,KMF,2,17,0,20,0,20,0,18,0,12,0,11,0,Lobby 1
