,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 12:00 SGTWorld's Edge Maggie Lovers OGL Cookie","Round 1 Round 1 March 19, 2022 - 12:00 SGTWorld's Edge Maggie Lovers OGL Cookie","Round 2 Round 2 March 19, 2022 - 12:30 SGTWorld's Edge Kingdom Yearn G GOD OF DREAM Arena Mains","Round 2 Round 2 March 19, 2022 - 12:30 SGTWorld's Edge Kingdom Yearn G GOD OF DREAM Arena Mains","Round 3 Round 3 March 19, 2022 - 13:00 SGTStorm Point Laifu No Waifu Phantom JustEasyTeam","Round 3 Round 3 March 19, 2022 - 13:00 SGTStorm Point Laifu No Waifu Phantom JustEasyTeam","Round 4 Round 4 March 19, 2022 - 13:30 SGTStorm Point Giant Submarine okok Phantom","Round 4 Round 4 March 19, 2022 - 13:30 SGTStorm Point Giant Submarine okok Phantom"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,GSUB,42,0,0,12,3,15,3,1,22
1,2.0,MAGL,40,1,12,8,0,5,8,12,1
2,3.0,ARENA,39,18,0,3,14,4,0,5,9
3,4.0,KYG,38,7,9,1,13,20,0,13,0
4,5.0,Phantom,26,17,0,13,0,2,7,3,2
5,6.0,END2,24,12,4,7,8,9,1,6,2
6,7.0,COOKIE,23,3,3,9,1,18,1,7,6
7,8.0,JET,23,16,2,5,1,3,3,8,4
8,9.0,okok,22,8,6,18,0,16,1,2,4
9,10.0,OGL,20,2,2,4,3,17,0,11,0
10,11.0,GOD OF DREAM,19,10,0,2,4,19,2,16,2
11,12.0,LNW,19,0,0,17,0,1,7,17,0
12,13.0,MWB,18,5,6,11,3,12,2,14,0
13,14.0,AIC WIBU,16,6,0,19,0,6,2,4,3
14,15.0,HEIR,15,4,4,15,0,8,1,10,0
15,16.0,MEIDO,13,11,0,14,1,7,6,15,0
16,17.0,HP,11,13,0,6,1,11,1,9,2
17,18.0,heLL,5,15,0,0,0,14,3,19,0
18,19.0,VRG,5,9,0,10,0,13,0,18,0
19,20.0,Unknown,3,14,0,16,0,10,0,20,0
