Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AVG,78,1,14,9,4,9,5,11,6,1,10,9,8,Lobby 1
2.0,ARENA,60,3,4,7,1,1,9,1,12,16,0,19,0,Lobby 1
3.0,HAKA,58,5,7,6,1,15,0,10,4,2,9,4,13,Lobby 1
4.0,Lowkey,51,10,1,8,5,3,12,7,0,15,3,1,3,Lobby 1
5.0,KMF,46,2,11,5,3,6,6,12,2,20,0,7,4,Lobby 1
6.0,INX,39,12,0,15,2,10,0,3,7,7,2,2,5,Lobby 1
7.0,JET,39,4,1,4,7,5,3,19,0,10,2,3,3,Lobby 1
8.0,Phantom,33,7,2,1,8,7,1,5,0,18,0,17,0,Lobby 1
9.0,END2,30,14,2,13,3,4,5,8,7,14,0,14,2,Lobby 1
10.0,Sanity,28,16,0,11,1,20,0,2,7,4,3,8,0,Lobby 1
11.0,GSUB,27,20,0,3,12,16,0,14,1,17,3,16,3,Lobby 1
12.0,Juiced,27,6,3,10,3,14,0,15,3,11,3,10,5,Lobby 1
13.0,MAGL,21,15,0,18,0,8,3,6,1,6,2,6,3,Lobby 1
14.0,Systematic,21,13,1,2,4,11,0,13,1,13,2,18,0,Lobby 1
15.0,OGL,21,9,0,12,0,2,2,9,1,12,2,12,0,Lobby 1
16.0,COOKIE,20,18,0,16,0,13,5,4,5,8,1,13,0,Lobby 1
17.0,KYG,19,11,6,20,0,12,6,18,1,9,1,20,1,Lobby 1
18.0,Bots,18,19,0,14,3,19,1,20,0,3,5,11,0,Lobby 1
19.0,okok,16,17,0,17,0,17,0,16,0,5,5,5,3,Lobby 1
20.0,REIGN,6,8,3,19,0,18,0,17,0,19,0,15,0,Lobby 1
1.0,DNZY,90,1,15,1,11,1,8,5,5,4,6,16,0,Lobby 2
2.0,MDYB,87,20,0,8,9,2,11,14,3,1,17,3,16,Lobby 2
3.0,YTS,72,5,9,19,0,4,13,2,8,10,2,5,16,Lobby 2
4.0,Horizon,54,12,8,11,3,8,3,19,0,6,10,1,11,Lobby 2
5.0,iON-H,49,4,4,7,2,14,2,1,14,9,0,14,3,Lobby 2
6.0,RYU,43,2,8,16,0,3,2,10,4,5,2,10,3,Lobby 2
7.0,DRG,42,14,5,20,0,11,5,3,3,3,9,7,1,Lobby 2
8.0,姐妹花,27,7,3,10,3,6,3,8,4,14,1,8,0,Lobby 2
9.0,ASC,27,8,4,17,0,15,1,11,2,2,5,9,0,Lobby 2
10.0,RZ,25,15,0,5,0,13,5,4,7,13,1,18,0,Lobby 2
11.0,September,24,18,0,2,9,19,0,13,0,15,0,6,1,Lobby 2
12.0,JKs,22,9,1,3,6,20,0,15,0,17,0,4,0,Lobby 2
13.0,ZeroTwo,17,10,0,6,5,16,0,9,4,18,0,13,0,Lobby 2
14.0,Baj,17,13,0,13,0,5,0,16,0,12,0,2,1,Lobby 2
15.0,SOT,16,17,0,4,3,12,0,6,1,8,0,15,0,Lobby 2
16.0,LIGJR,14,3,0,12,1,17,2,18,2,16,1,17,0,Lobby 2
17.0,AmK,14,6,2,9,0,18,0,17,0,7,2,11,1,Lobby 2
18.0,Soosmar slayer,13,19,0,15,4,7,0,7,0,11,0,12,0,Lobby 2
19.0,OJ,4,16,0,14,0,10,0,12,0,19,0,19,0,Lobby 2
20.0,TTS,3,11,0,18,0,9,0,20,0,20,0,20,0,Lobby 2
