Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,DNZY,99,2,20,1,11,1,12,1,11,Lobby 1,Quarterfinals,,,,
2.0,HP,52,1,10,3,1,5,8,4,5,Lobby 1,Quarterfinals,,,,
3.0,Systematic,41,8,5,2,10,2,3,6,0,Lobby 1,Quarterfinals,,,,
4.0,Bots,31,11,3,5,9,15,0,3,6,Lobby 1,Quarterfinals,,,,
5.0,Lowkey,29,3,6,4,3,10,1,8,3,Lobby 1,Quarterfinals,,,,
6.0,MWB,29,5,0,11,0,3,11,5,2,Lobby 1,Quarterfinals,,,,
7.0,Monkey Predator,22,12,0,19,0,4,0,2,7,Lobby 1,Quarterfinals,,,,
8.0,INX,21,4,3,10,0,14,1,7,6,Lobby 1,Quarterfinals,,,,
9.0,VG,18,6,3,16,4,12,4,16,3,Lobby 1,Quarterfinals,,,,
10.0,END2,18,16,3,13,1,8,7,10,2,Lobby 1,Quarterfinals,,,,
11.0,OJ,16,7,2,9,6,18,1,9,0,Lobby 1,Quarterfinals,,,,
12.0,iON-H,15,9,0,8,3,6,4,13,0,Lobby 1,Quarterfinals,,,,
13.0,WN,11,18,2,12,3,9,3,18,0,Lobby 1,Quarterfinals,,,,
14.0,Chonky Bees,9,10,0,15,5,13,0,17,0,Lobby 1,Quarterfinals,,,,
15.0,GOD OF DREAM,7,13,0,17,0,7,0,15,2,Lobby 1,Quarterfinals,,,,
16.0,SOLSIS,7,14,0,6,1,11,0,12,0,Lobby 1,Quarterfinals,,,,
17.0,SIMP,5,15,0,7,1,17,0,0,0,Lobby 1,Quarterfinals,,,,
18.0,Juiced,2,17,0,18,0,16,0,11,1,Lobby 1,Quarterfinals,,,,
19.0,DEEZN,1,20,0,14,0,0,0,0,0,Lobby 1,Quarterfinals,,,,
20.0,NoC,1,19,0,20,0,19,0,14,0,Lobby 1,Quarterfinals,,,,
1.0,ARENA,54,1,14,20,0,20,0,1,16,Lobby 2,Quarterfinals,,,,
2.0,RYU,52,6,2,2,13,15,1,2,14,Lobby 2,Quarterfinals,,,,
3.0,GSUB,49,8,6,12,2,1,12,9,12,Lobby 2,Quarterfinals,,,,
4.0,Phantom,39,5,1,4,10,5,8,7,4,Lobby 2,Quarterfinals,,,,
5.0,ASC,34,2,13,6,7,17,0,10,0,Lobby 2,Quarterfinals,,,,
6.0,SLA,31,3,11,13,0,10,2,8,6,Lobby 2,Quarterfinals,,,,
7.0,DYSON,26,4,5,3,4,9,3,18,0,Lobby 2,Quarterfinals,,,,
8.0,Sovereign,25,7,1,1,7,8,0,16,0,Lobby 2,Quarterfinals,,,,
9.0,LVTHN,24,9,0,5,1,2,7,15,0,Lobby 2,Quarterfinals,,,,
10.0,姐妹花,19,12,1,9,1,6,6,4,0,Lobby 2,Quarterfinals,,,,
11.0,Soosmar slayer,18,10,0,8,6,11,5,13,1,Lobby 2,Quarterfinals,,,,
12.0,WAR VIKINGS,18,11,3,10,0,3,5,17,0,Lobby 2,Quarterfinals,,,,
13.0,KINDOG,12,13,0,15,0,14,3,5,2,Lobby 2,Quarterfinals,,,,
14.0,BLANK,12,14,0,18,0,4,1,6,2,Lobby 2,Quarterfinals,,,,
15.0,RZ,12,15,1,11,0,13,0,3,1,Lobby 2,Quarterfinals,,,,
16.0,GSWRD,10,20,0,16,1,7,3,12,2,Lobby 2,Quarterfinals,,,,
17.0,SNM,8,18,0,7,4,18,0,11,0,Lobby 2,Quarterfinals,,,,
18.0,67 Richter,2,19,0,14,0,19,0,14,0,Lobby 2,Quarterfinals,,,,
19.0,LNW,1,16,0,17,1,16,0,19,0,Lobby 2,Quarterfinals,,,,
20.0,heLL,1,17,0,19,0,12,0,20,0,Lobby 2,Quarterfinals,,,,
1.0,YTS,79,3,14,2,16,14,3,1,17,Lobby 3,Quarterfinals,,,,
2.0,Horizon,40,16,2,5,1,1,17,15,3,Lobby 3,Quarterfinals,,,,
3.0,OGL,37,6,0,3,5,2,2,2,2,Lobby 3,Quarterfinals,,,,
4.0,AIC WIBU,36,2,5,11,0,6,0,4,13,Lobby 3,Quarterfinals,,,,
5.0,AVG,32,8,5,4,9,11,2,5,4,Lobby 3,Quarterfinals,,,,
6.0,MDYB,28,13,9,6,2,13,3,8,7,Lobby 3,Quarterfinals,,,,
7.0,okok,28,1,13,17,0,16,3,17,0,Lobby 3,Quarterfinals,,,,
8.0,MIX-ONE,22,17,3,9,4,7,2,3,1,Lobby 3,Quarterfinals,,,,
9.0,BSTD2,20,7,0,1,5,17,0,18,0,Lobby 3,Quarterfinals,,,,
10.0,MASQ,16,4,0,15,0,3,0,6,0,Lobby 3,Quarterfinals,,,,
11.0,JKs,15,18,0,18,0,4,9,13,0,Lobby 3,Quarterfinals,,,,
12.0,DVG,14,5,3,13,0,5,2,16,0,Lobby 3,Quarterfinals,,,,
13.0,Boosted,10,12,1,14,2,10,2,14,0,Lobby 3,Quarterfinals,,,,
14.0,CHAWDOY,9,19,1,7,0,8,0,7,0,Lobby 3,Quarterfinals,,,,
15.0,LGC,9,9,0,8,1,9,0,9,0,Lobby 3,Quarterfinals,,,,
16.0,HKUF,7,14,0,10,1,0,0,10,1,Lobby 3,Quarterfinals,,,,
17.0,HEAVEN,6,15,0,12,2,15,0,11,0,Lobby 3,Quarterfinals,,,,
18.0,NOPLAY2,5,10,0,19,0,12,1,12,0,Lobby 3,Quarterfinals,,,,
