A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,M2,73,12,2,1,10,5,3,8,4,1,11,4,7
2.0,STK,72,1,15,11,0,13,0,1,4,2,5,3,6
3.0,DF,66,5,5,3,5,4,17,12,0,5,5,2,4
4.0,BRP,60,10,5,5,4,2,11,3,4,4,1,5,4
5.0,EXO,58,7,3,4,5,7,6,2,8,6,3,10,8
6.0,NXL,46,11,2,8,2,1,10,5,3,12,1,6,5
7.0,ATH,38,6,4,12,0,11,0,11,1,3,7,2,4
8.0,SNG,27,15,0,6,4,8,2,4,5,9,2,15,0
9.0,STB,26,3,4,9,3,9,0,10,0,11,1,12,3
10.0,BWS,26,2,3,7,1,16,0,13,3,8,0,13,3
11.0,DML,25,4,3,2,4,12,0,14,1,16,0,14,0
12.0,MBTN,24,16,0,14,0,3,1,7,6,13,3,8,0
13.0,SLAY,20,8,2,10,3,17,0,17,0,7,8,17,0
14.0,FW,19,14,0,15,2,10,0,9,5,10,1,7,0
15.0,WHIZ,14,9,2,16,2,6,0,15,0,14,1,9,0
16.0,DNN,10,17,0,17,0,14,0,6,3,15,1,11,0
17.0,DESI,8,13,1,13,0,15,0,16,1,17,0,16,3
18.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
