,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 15:00 SGTStorm Point Inside The Ring Team Burger DreamFire","Round 1 Round 1 March 19, 2022 - 15:00 SGTStorm Point Inside The Ring Team Burger DreamFire","Round 2 Round 2 March 19, 2022 - 15:30 SGTStorm Point StinkyB DreamFire Monkeyz","Round 2 Round 2 March 19, 2022 - 15:30 SGTStorm Point StinkyB DreamFire Monkeyz","Round 3 Round 3 March 19, 2022 - 16:00 SGTStorm Point Monkeyz Inside The Ring Method2Madness","Round 3 Round 3 March 19, 2022 - 16:00 SGTStorm Point Monkeyz Inside The Ring Method2Madness","Round 4 Round 4 March 19, 2022 - 16:30 SGTWorld's Edge StinkyB WEAREGODGAMERS We Are Trash","Round 4 Round 4 March 19, 2022 - 16:30 SGTWorld's Edge StinkyB WEAREGODGAMERS We Are Trash","Round 5 Round 5 March 19, 2022 - 17:00 SGTWorld's Edge DreamFire Team Burger WEAREGODGAMERS","Round 5 Round 5 March 19, 2022 - 17:00 SGTWorld's Edge DreamFire Team Burger WEAREGODGAMERS","Round 6 Round 6 March 19, 2022 - 17:30 SGTWorld's Edge BRP Monkeyz Method2Madness","Round 6 Round 6 March 19, 2022 - 17:30 SGTWorld's Edge BRP Monkeyz Method2Madness"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STB,70,15,1,1,14,5,7,1,13,8,2,10,0
1,2.0,DF,65,3,5,2,8,11,3,7,5,1,11,13,0
2,3.0,ITR,55,1,12,6,6,2,1,15,0,7,2,4,1
3,4.0,MON,55,7,0,3,3,1,11,11,1,14,1,2,6
4,5.0,BRP,52,4,9,9,1,14,1,10,0,6,2,1,14
5,6.0,WGG,50,13,0,4,5,13,3,2,10,3,5,11,3
6,7.0,M2,47,10,2,11,3,3,9,16,0,5,6,3,6
7,8.0,BRGR,37,2,3,8,0,16,0,5,4,2,2,9,2
8,9.0,MDY.W,30,12,5,15,0,6,3,4,5,10,3,14,1
9,10.0,PK,27,11,0,7,0,7,1,6,2,4,4,6,2
10,11.0,WHIZ,24,6,1,5,2,15,0,9,2,9,4,8,1
11,12.0,WAT,24,8,3,12,2,12,0,3,3,11,0,7,1
12,13.0,DREAM,17,16,0,10,0,10,0,12,0,13,0,5,7
13,14.0,MYTH,16,9,3,16,0,9,4,13,3,16,0,12,0
14,15.0,SLAY,15,5,1,14,0,8,1,8,0,15,2,15,0
15,16.0,DESI,13,14,0,13,1,4,1,14,0,12,2,16,0
16,17.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
