,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 15:00 SGTWorld's Edge Sutoraiku BWS StinkyB","Round 1 Round 1 March 20, 2022 - 15:00 SGTWorld's Edge Sutoraiku BWS StinkyB","Round 2 Round 2 March 20, 2022 - 15:30 SGTWorld's Edge Method2Madness DML DreamFire","Round 2 Round 2 March 20, 2022 - 15:30 SGTWorld's Edge Method2Madness DML DreamFire","Round 3 Round 3 March 20, 2022 - 16:00 SGTWorld's Edge NXL WOLFPACK BRP MBT.NAGA","Round 3 Round 3 March 20, 2022 - 16:00 SGTWorld's Edge NXL WOLFPACK BRP MBT.NAGA","Round 4 Round 4 March 20, 2022 - 16:30 SGTStorm Point Sutoraiku EXO Clan BRP","Round 4 Round 4 March 20, 2022 - 16:30 SGTStorm Point Sutoraiku EXO Clan BRP","Round 5 Round 5 March 20, 2022 - 17:00 SGTStorm Point Method2Madness Sutoraiku ATHXHVY","Round 5 Round 5 March 20, 2022 - 17:00 SGTStorm Point Method2Madness Sutoraiku ATHXHVY","Round 6 Round 6 March 20, 2022 - 17:30 SGTStorm Point ATHXHVY DreamFire Sutoraiku","Round 6 Round 6 March 20, 2022 - 17:30 SGTStorm Point ATHXHVY DreamFire Sutoraiku"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,M2,73,12,2,1,10,5,3,8,4,1,11,4,7
1,2.0,STK,72,1,15,11,0,13,0,1,4,2,5,3,6
2,3.0,DF,66,5,5,3,5,4,17,12,0,5,5,2,4
3,4.0,BRP,60,10,5,5,4,2,11,3,4,4,1,5,4
4,5.0,EXO,58,7,3,4,5,7,6,2,8,6,3,10,8
5,6.0,NXL,46,11,2,8,2,1,10,5,3,12,1,6,5
6,7.0,ATH,38,6,4,12,0,11,0,11,1,3,7,2,4
7,8.0,SNG,27,15,0,6,4,8,2,4,5,9,2,15,0
8,9.0,STB,26,3,4,9,3,9,0,10,0,11,1,12,3
9,10.0,BWS,26,2,3,7,1,16,0,13,3,8,0,13,3
10,11.0,DML,25,4,3,2,4,12,0,14,1,16,0,14,0
11,12.0,MBTN,24,16,0,14,0,3,1,7,6,13,3,8,0
12,13.0,SLAY,20,8,2,10,3,17,0,17,0,7,8,17,0
13,14.0,FW,19,14,0,15,2,10,0,9,5,10,1,7,0
14,15.0,WHIZ,14,9,2,16,2,6,0,15,0,14,1,9,0
15,16.0,DNN,10,17,0,17,0,14,0,6,3,15,1,11,0
16,17.0,DESI,8,13,1,13,0,15,0,16,1,17,0,16,3
17,18.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
