Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,MDY.W,92,16,3,1,20,1,5,1,12,5,10,18,2,Finals
2.0,Antiaa,65,3,0,11,0,6,8,11,0,3,7,1,11,Finals
3.0,SIC,60,4,3,3,7,12,5,3,7,6,5,17,3,Finals
4.0,PWLS,53,1,12,17,0,2,5,13,1,8,0,8,4,Finals
5.0,EMM,50,2,8,5,3,15,3,19,3,11,1,11,7,Finals
6.0,DREAM,39,17,0,16,0,16,1,4,0,1,10,7,2,Finals
7.0,MBTN,38,14,4,20,0,5,7,8,6,4,2,6,3,Finals
8.0,BWS,37,15,2,13,2,18,0,9,3,19,0,2,7,Finals
9.0,CKB,36,11,0,15,0,9,3,6,1,2,12,12,0,Finals
10.0,DYN,35,6,6,2,3,11,0,7,3,9,2,9,1,Finals
11.0,DESI,31,20,0,10,4,10,0,10,4,12,3,3,6,Finals
12.0,Azure,30,7,2,14,1,3,5,14,3,7,1,15,0,Finals
13.0,BTCxWGG,25,18,0,19,2,7,7,15,1,15,2,4,3,Finals
14.0,OMS,24,5,4,7,4,8,0,12,3,10,0,14,0,Finals
15.0,LH,22,8,5,6,0,14,0,17,0,17,0,5,7,Finals
16.0,Pavlova,20,9,4,18,1,4,7,18,0,16,0,13,0,Finals
17.0,Systematic,20,12,0,12,1,17,0,2,8,20,0,16,0,Finals
18.0,Multicultural,20,10,2,4,5,13,0,20,0,13,0,19,0,Finals
19.0,OGL,12,13,0,8,2,19,0,5,0,18,1,10,0,Finals
20.0,MXT,8,19,0,9,4,20,0,16,1,14,0,20,0,Finals
1.0,MDY.W,108,4,3,1,15,4,11,1,14,7,3,1,13,Losers_Bracket
2.0,OMS,61,2,9,12,2,1,8,4,6,4,3,11,0,Losers_Bracket
3.0,DESI,52,1,10,4,1,2,4,14,0,6,2,5,1,Losers_Bracket
4.0,Pavlova,47,6,5,8,4,6,7,15,0,2,4,4,4,Losers_Bracket
5.0,BTCxWGG,47,5,1,7,1,7,3,11,3,3,8,3,6,Losers_Bracket
6.0,AMG TW,41,14,6,10,1,5,8,13,9,13,7,15,0,Losers_Bracket
7.0,DYN,38,13,0,2,9,3,4,7,1,9,1,12,0,Losers_Bracket
8.0,LH,37,18,0,5,8,10,3,18,0,1,8,17,0,Losers_Bracket
9.0,MXT,34,15,6,18,0,18,0,5,9,5,1,7,6,Losers_Bracket
10.0,OGL,33,9,2,3,5,14,0,6,0,12,0,2,3,Losers_Bracket
11.0,Systematic,31,10,0,15,0,15,0,2,7,8,0,6,6,Losers_Bracket
12.0,AU Skyrise,29,3,7,13,0,9,0,3,2,14,0,8,0,Losers_Bracket
13.0,Juiced,23,8,2,16,2,12,1,10,0,10,6,10,3,Losers_Bracket
14.0,Ryz.SEA,17,7,0,17,2,11,0,8,1,11,2,9,3,Losers_Bracket
15.0,END,15,16,0,6,5,8,3,12,0,16,0,13,0,Losers_Bracket
16.0,OC,7,17,0,9,1,17,0,17,0,15,2,14,0,Losers_Bracket
17.0,Sigma Gamers,7,11,3,14,0,16,0,9,0,17,0,16,0,Losers_Bracket
18.0,BOG,6,12,0,11,3,13,0,16,0,0,0,0,0,Losers_Bracket
19.0,EVO.Supreme,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
20.0,Inferno DRT,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
1.0,BWS,83,1,13,1,10,14,0,1,7,13,2,2,4,Winners_Bracket
2.0,EMM,63,12,4,4,4,3,4,13,3,12,3,1,18,Winners_Bracket
3.0,Antiaa,49,6,5,3,5,6,5,4,3,10,6,8,3,Winners_Bracket
4.0,SIC,48,5,13,10,3,7,3,3,6,9,2,9,1,Winners_Bracket
5.0,DREAM,45,14,0,5,3,1,12,18,0,5,8,13,0,Winners_Bracket
6.0,PWLS,42,8,3,2,8,11,2,10,7,7,4,14,0,Winners_Bracket
7.0,CKB,38,4,0,11,3,2,7,12,0,8,0,7,7,Winners_Bracket
8.0,Multicultural,38,3,3,6,0,16,0,14,1,1,11,17,0,Winners_Bracket
9.0,MBTN,37,10,3,7,4,5,6,9,3,4,2,16,3,Winners_Bracket
10.0,Azure,37,2,4,15,3,10,3,15,0,6,3,4,3,Winners_Bracket
11.0,END,28,7,0,13,5,15,1,2,6,14,0,12,0,Winners_Bracket
12.0,OGL,27,11,1,8,0,4,2,7,4,2,0,18,0,Winners_Bracket
13.0,OMS,23,9,0,14,1,8,2,5,3,11,5,15,1,Winners_Bracket
14.0,BOG,21,13,0,9,3,17,0,8,6,18,0,3,0,Winners_Bracket
15.0,BTCxWGG,18,19,0,17,0,12,0,11,0,3,5,6,1,Winners_Bracket
16.0,LH,16,20,0,18,0,18,0,6,4,15,0,10,6,Winners_Bracket
17.0,Systematic,8,16,0,16,0,9,2,17,0,17,0,5,0,Winners_Bracket
18.0,Pavlova,6,15,0,12,0,13,0,16,1,16,1,11,0,Winners_Bracket
19.0,AMG TW,0,17,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
20.0,Inferno DRT,0,18,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
