Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BWS,83,1,13,1,10,14,0,1,7,13,2,2,4
2.0,EMM,63,12,4,4,4,3,4,13,3,12,3,1,18
3.0,Antiaa,49,6,5,3,5,6,5,4,3,10,6,8,3
4.0,SIC,48,5,13,10,3,7,3,3,6,9,2,9,1
5.0,DREAM,45,14,0,5,3,1,12,18,0,5,8,13,0
6.0,PWLS,42,8,3,2,8,11,2,10,7,7,4,14,0
7.0,CKB,38,4,0,11,3,2,7,12,0,8,0,7,7
8.0,Multicultural,38,3,3,6,0,16,0,14,1,1,11,17,0
9.0,MBTN,37,10,3,7,4,5,6,9,3,4,2,16,3
10.0,Azure,37,2,4,15,3,10,3,15,0,6,3,4,3
11.0,END,28,7,0,13,5,15,1,2,6,14,0,12,0
12.0,OGL,27,11,1,8,0,4,2,7,4,2,0,18,0
13.0,OMS,23,9,0,14,1,8,2,5,3,11,5,15,1
14.0,BOG,21,13,0,9,3,17,0,8,6,18,0,3,0
15.0,BTCxWGG,18,19,0,17,0,12,0,11,0,3,5,6,1
16.0,LH,16,20,0,18,0,18,0,6,4,15,0,10,6
17.0,Systematic,8,16,0,16,0,9,2,17,0,17,0,5,0
18.0,Pavlova,6,15,0,12,0,13,0,16,1,16,1,11,0
19.0,AMG TW,0,17,0,0,0,0,0,0,0,0,0,0,0
20.0,Inferno DRT,0,18,0,0,0,0,0,0,0,0,0,0,0
