Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
1.0,DNZY,59,9,6,15,0,2,14,1,15,Lobby 1,Quarterfinals,,,,,Split_2
2.0,JKs,52,5,4,2,13,3,8,12,6,Lobby 1,Quarterfinals,,,,,Split_2
3.0,AmK,41,7,3,4,4,1,10,13,3,Lobby 1,Quarterfinals,,,,,Split_2
4.0,Soosmar slayer,39,3,3,8,9,17,0,2,9,Lobby 1,Quarterfinals,,,,,Split_2
5.0,WARTX,38,2,2,1,7,5,1,6,0,Lobby 1,Quarterfinals,,,,,Split_2
6.0,BLANK,29,1,11,17,0,6,3,16,0,Lobby 1,Quarterfinals,,,,,Split_2
7.0,HAN,28,16,0,3,7,4,7,15,1,Lobby 1,Quarterfinals,,,,,Split_2
8.0,LIGJR,24,6,7,14,3,8,3,4,0,Lobby 1,Quarterfinals,,,,,Split_2
9.0,END,23,8,0,5,3,19,0,3,7,Lobby 1,Quarterfinals,,,,,Split_2
10.0,HypC,14,11,2,13,0,15,3,8,4,Lobby 1,Quarterfinals,,,,,Split_2
11.0,GOD OF DREAM,14,4,5,6,1,16,0,17,0,Lobby 1,Quarterfinals,,,,,Split_2
12.0,Deng,13,13,0,7,0,11,0,5,4,Lobby 1,Quarterfinals,,,,,Split_2
13.0,HEIR,11,10,1,10,2,14,0,14,2,Lobby 1,Quarterfinals,,,,,Split_2
14.0,SLA,9,15,0,9,1,7,0,9,0,Lobby 1,Quarterfinals,,,,,Split_2
15.0,Quentiam,8,19,0,18,0,12,4,7,0,Lobby 1,Quarterfinals,,,,,Split_2
16.0,MASQ,6,17,4,16,0,18,0,10,0,Lobby 1,Quarterfinals,,,,,Split_2
17.0,INEL,4,12,0,12,0,13,0,18,1,Lobby 1,Quarterfinals,,,,,Split_2
18.0,jpeg,4,18,0,11,1,9,0,19,0,Lobby 1,Quarterfinals,,,,,Split_2
19.0,REIGN,4,14,0,19,0,10,0,11,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,CR4KD,53,15,3,1,10,1,10,9,3,Lobby 2,Quarterfinals,,,,,Split_2
2.0,CHILL,51,12,0,4,6,5,6,1,17,Lobby 2,Quarterfinals,,,,,Split_2
3.0,SXT,42,5,5,2,9,9,2,4,6,Lobby 2,Quarterfinals,,,,,Split_2
4.0,DRG,40,4,4,5,0,4,6,2,7,Lobby 2,Quarterfinals,,,,,Split_2
5.0,ASC,39,6,8,15,2,2,10,7,3,Lobby 2,Quarterfinals,,,,,Split_2
6.0,MXT,35,16,1,7,14,14,4,3,5,Lobby 2,Quarterfinals,,,,,Split_2
7.0,Lowkey,32,1,11,6,6,16,0,18,0,Lobby 2,Quarterfinals,,,,,Split_2
8.0,NoC,22,2,4,9,0,7,0,11,3,Lobby 2,Quarterfinals,,,,,Split_2
9.0,EMDA,21,3,3,8,2,6,3,12,0,Lobby 2,Quarterfinals,,,,,Split_2
10.0,COHA,17,9,2,16,0,3,4,13,1,Lobby 2,Quarterfinals,,,,,Split_2
11.0,SOT,14,8,0,11,0,8,5,6,1,Lobby 2,Quarterfinals,,,,,Split_2
12.0,Baj,13,7,3,10,1,18,0,5,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,MPEX,13,10,2,3,1,15,0,16,0,Lobby 2,Quarterfinals,,,,,Split_2
14.0,MAF,9,18,0,12,0,12,2,8,3,Lobby 2,Quarterfinals,,,,,Split_2
15.0,tasi,6,17,0,13,0,13,0,10,2,Lobby 2,Quarterfinals,,,,,Split_2
16.0,Unknown,5,13,3,17,0,17,0,14,0,Lobby 2,Quarterfinals,,,,,Split_2
17.0,VRG,5,14,1,18,0,10,0,15,0,Lobby 2,Quarterfinals,,,,,Split_2
18.0,Kardinals,4,11,0,14,0,11,1,17,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,AVG,69,10,3,1,19,1,14,12,6,Lobby 3,Quarterfinals,,,,,Split_2
2.0,AIC WIBU,63,1,17,3,8,2,5,11,4,Lobby 3,Quarterfinals,,,,,Split_2
3.0,MWB,43,3,7,2,4,8,4,4,5,Lobby 3,Quarterfinals,,,,,Split_2
4.0,okok,38,2,7,7,0,7,2,2,5,Lobby 3,Quarterfinals,,,,,Split_2
5.0,HAKA,33,16,0,6,5,16,0,1,13,Lobby 3,Quarterfinals,,,,,Split_2
