Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NRG,92,2,6,11,1,1,10,8,5,4,2,5,1,1,11,3,4
2.0,FUR,67,16,3,18,0,4,14,9,9,12,2,11,1,13,0,1,16
3.0,SSG,61,17,0,5,6,10,0,1,8,3,3,4,5,7,3,15,2
4.0,EXO,53,11,2,7,3,2,7,2,7,16,1,6,5,16,3,20,0
5.0,αD,51,3,6,14,1,17,0,12,0,7,0,1,9,14,2,4,3
6.0,DZ,50,13,4,2,4,7,0,16,3,11,4,19,0,2,11,12,0
7.0,IG,46,8,2,10,0,16,2,4,6,10,0,2,11,9,0,10,1
8.0,BRGR,46,10,1,8,8,9,1,15,1,5,6,3,5,10,4,19,0
9.0,C9,44,5,6,4,8,12,0,19,0,15,3,14,2,15,0,6,9
10.0,ZETA,43,15,0,1,14,8,3,14,0,18,0,9,1,18,0,5,3
11.0,TL,41,18,0,20,0,20,0,20,0,1,10,17,0,11,1,2,8
12.0,TSM,40,1,9,15,0,14,0,7,2,19,1,10,3,17,0,9,4
13.0,SNG,40,4,1,12,1,5,1,6,0,6,0,13,3,4,7,7,2
14.0,FNC,36,12,1,16,0,15,2,17,0,2,10,8,1,3,1,13,0
15.0,100T,33,20,0,3,3,6,0,3,6,13,0,12,0,12,2,8,0
16.0,OG,32,14,1,9,1,3,11,11,2,14,1,15,3,19,0,17,0
17.0,SZ,31,9,0,13,0,11,0,13,1,9,4,7,2,6,8,14,2
18.0,DF,31,6,7,17,3,18,3,10,1,17,0,18,1,5,1,11,5
19.0,LG,20,7,5,19,0,13,0,5,3,20,0,20,0,8,2,18,0
20.0,E6,19,19,0,6,3,19,0,18,1,8,6,16,3,20,0,16,1
