,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression
,Unnamed: 0_level_1,Team,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total
,Unnamed: 0_level_2,Team,1,2,3,4,5,6,7,8,9
0,2.0,FUR,12,39,39,42,64,71,82,85,85
1,3.0,100T,1,13,29,30,43,47,72,72,75
2,5.0,GMT,21,31,41,44,46,49,61,61,69
3,1.0,DZ,6,6,10,18,26,33,49,52,70
4,4.0,FNC,7,7,10,37,39,40,49,69,74
5,6.0,SSG,12,14,14,29,33,35,47,50,68
6,8.0,ALL,0,0,21,25,26,31,31,53,61
7,9.0,NRG,25,27,37,37,37,45,48,51,55
8,10.0,αD,16,31,32,33,41,45,47,51,54
9,7.0,TSM,12,17,18,30,35,36,38,45,64
10,11.0,SZ,2,8,16,18,18,37,38,49,53
11,12.0,TL,1,4,10,22,26,38,40,47,50
