C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,OG,69,17,1,18,0,1,7,1,8,1,15,10,0
2.0,EXO,63,7,0,1,8,16,1,7,5,3,5,1,7
3.0,FNC,50,3,5,3,8,12,1,13,1,9,5,4,7
4.0,DF,48,1,12,15,0,8,1,5,1,17,0,2,6
5.0,SZ,44,5,6,9,4,6,3,9,10,16,2,12,7
6.0,IG,40,20,0,4,4,9,2,2,6,11,7,6,1
7.0,TL,34,4,4,19,0,13,2,3,7,4,3,20,0
8.0,ALL,34,2,7,6,0,17,1,15,0,2,4,17,0
9.0,BRGR,33,9,4,10,3,5,7,19,0,7,2,11,5
10.0,TSM,32,15,3,13,3,3,10,8,2,18,0,8,1
11.0,DNG,32,10,0,14,0,7,2,4,1,5,3,3,4
12.0,STK,29,8,0,5,8,4,2,17,2,6,3,16,0
13.0,NRG,28,14,1,2,3,10,1,18,0,8,0,7,6
14.0,FAK,24,13,3,12,1,15,5,11,1,14,0,5,5
15.0,RC,24,11,2,7,5,11,5,12,0,10,3,13,0
16.0,ORF,23,12,2,8,3,14,0,6,7,12,0,9,1
17.0,GFR,18,16,0,17,1,2,3,10,3,19,0,18,0
18.0,FSV,10,6,5,20,0,18,0,14,0,13,0,19,0
19.0,INF,6,19,0,11,0,19,1,16,0,15,0,14,2
20.0,1IQ,4,18,2,16,0,20,0,20,1,20,0,15,0
