A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TL,59,6,2,4,9,8,6,16,1,4,7,1,7
2.0,NRG,57,17,1,1,12,17,1,1,5,10,4,4,3
3.0,FAK,55,16,0,2,11,2,6,14,2,3,7,12,2
4.0,SZ,51,2,7,10,1,4,9,11,0,18,0,2,8
5.0,EXO,46,7,3,5,5,1,11,10,2,20,1,14,2
6.0,DZ,38,3,5,3,1,12,2,15,6,12,3,6,1
7.0,100T,38,12,0,7,4,7,3,8,2,1,7,11,0
8.0,FNC,34,15,0,11,1,10,1,3,7,5,5,9,3
9.0,ACE,31,4,7,13,4,20,0,5,1,6,4,18,2
10.0,ZETA,31,5,8,8,0,18,0,6,4,9,1,5,3
11.0,αD,31,1,8,18,0,5,3,18,0,14,0,17,3
12.0,GFR,29,8,0,12,0,3,3,20,0,7,3,7,7
13.0,STK,28,9,9,15,3,19,0,12,4,19,3,13,4
14.0,RC,28,10,2,20,0,14,3,7,6,15,0,3,3
15.0,AYM,24,19,0,17,0,6,4,19,3,16,2,8,10
16.0,BRU,21,20,0,14,0,11,0,4,5,2,0,20,0
17.0,SSG,20,11,0,6,3,15,0,9,5,13,3,15,0
18.0,FL,20,18,0,19,0,16,2,2,4,8,3,19,0
19.0,INF,13,13,3,9,0,9,0,13,3,17,1,16,0
20.0,CR,6,14,0,16,0,13,0,17,0,11,0,10,1
