A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,100T,78,3,2,5,3,1,6,3,7,5,5,1,9
2.0,ZETA,52,6,3,4,6,2,10,14,1,4,2,4,2
3.0,IG,47,8,6,9,2,16,2,19,0,2,14,3,3
4.0,αD,45,19,0,19,1,6,9,5,8,11,1,5,14
5.0,BRGR,44,2,8,13,1,5,2,6,5,8,6,6,0
6.0,TSM,41,1,7,14,3,11,0,8,4,6,4,9,2
7.0,CR,41,4,1,6,1,4,5,4,3,18,0,2,4
8.0,DZ,40,5,6,2,10,10,4,16,2,19,0,16,3
9.0,ALL,37,16,1,17,2,9,3,1,9,17,2,8,4
10.0,DF,37,7,5,18,1,8,1,13,0,1,6,13,5
11.0,SSG,36,12,2,16,0,3,4,2,5,12,6,14,0
12.0,OG,32,15,1,1,15,18,0,11,1,13,0,19,0
13.0,ACE,24,10,4,12,2,7,4,20,0,10,3,10,1
14.0,FSV,18,9,2,3,3,13,0,15,2,16,0,17,0
15.0,AYM,17,17,2,7,0,17,1,10,8,14,0,20,0
16.0,1IQ,16,13,1,10,0,19,1,12,0,15,1,7,5
17.0,DNG,16,20,0,11,1,12,0,7,0,3,2,11,0
18.0,ORF,9,18,1,8,1,15,0,17,0,9,1,12,0
19.0,FL,8,11,0,20,0,20,0,9,0,7,2,18,0
20.0,BRU,7,14,0,15,0,14,2,18,0,20,0,15,1
