,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 July 07, 2022 - 13:00 EDTWorld's Edge Spacestation Gaming Crazy Raccoon Team Singularity","Round 1 Round 1 July 07, 2022 - 13:00 EDTWorld's Edge Spacestation Gaming Crazy Raccoon Team Singularity","Round 2 Round 2 July 07, 2022 - 13:30 EDTWorld's Edge esports team αD GMT Esports Team Singularity","Round 2 Round 2 July 07, 2022 - 13:30 EDTWorld's Edge esports team αD GMT Esports Team Singularity","Round 3 Round 3 July 07, 2022 - 14:00 EDTWorld's Edge Crazy Raccoon ODDIK esports team αD","Round 3 Round 3 July 07, 2022 - 14:00 EDTWorld's Edge Crazy Raccoon ODDIK esports team αD","Round 4 Round 4 July 07, 2022 - 14:30 EDTStorm Point Element 6 PULVEREX FURIA Esports","Round 4 Round 4 July 07, 2022 - 14:30 EDTStorm Point Element 6 PULVEREX FURIA Esports","Round 5 Round 5 July 07, 2022 - 15:00 EDTStorm Point FENNEL Team Singularity Spacestation Gaming","Round 5 Round 5 July 07, 2022 - 15:00 EDTStorm Point FENNEL Team Singularity Spacestation Gaming","Round 6 Round 6 July 07, 2022 - 15:30 EDTStorm Point DarkZero 100 Thieves esports team αD","Round 6 Round 6 July 07, 2022 - 15:30 EDTStorm Point DarkZero 100 Thieves esports team αD"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,αD,61,6,2,1,8,3,4,20,0,16,0,3,18
1,2.0,SNG,53,3,7,3,6,8,2,8,4,2,5,8,0
2,3.0,FUR,48,11,4,8,5,4,3,3,11,6,7,20,0
3,4.0,SSG,48,1,10,9,4,13,1,6,0,3,3,9,3
4,5.0,DZ,42,15,2,7,2,14,3,5,1,8,0,1,11
5,6.0,CR,40,2,4,11,5,1,6,17,2,14,0,19,0
6,7.0,LG,38,8,6,6,6,12,4,4,4,10,4,13,0
7,8.0,E6,36,14,1,4,1,11,1,1,8,13,2,7,0
8,9.0,GMT,35,13,1,2,6,7,3,19,0,7,5,14,3
9,10.0,100T,33,12,0,20,0,20,0,9,5,5,6,2,6
10,11.0,AYM,28,19,0,5,2,17,4,14,4,12,6,10,4
11,12.0,ACE,28,10,4,10,6,18,0,12,3,4,3,12,1
12,13.0,E8,26,7,3,17,0,9,4,18,0,15,3,5,6
13,14.0,ZETA,26,5,5,16,0,5,5,7,5,19,0,16,0
14,15.0,FL,25,20,0,14,0,10,1,13,0,1,8,17,0
15,16.0,ODK,24,16,0,19,1,2,11,16,0,18,0,6,0
16,17.0,C9,21,4,2,13,1,6,3,15,0,17,0,4,0
17,18.0,PVX,20,9,0,18,0,16,2,2,6,20,0,11,0
18,19.0,FNX,11,17,1,12,2,19,0,10,0,11,0,15,3
19,20.0,BRU,6,18,0,15,0,15,1,11,0,9,0,18,0
