,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 July 07, 2022 - 18:15 EDTStorm Point DreamFire OpTic Gaming Team Burger","Round 1 Round 1 July 07, 2022 - 18:15 EDTStorm Point DreamFire OpTic Gaming Team Burger","Round 2 Round 2 July 07, 2022 - 18:45 EDTStorm Point Cloud9 TSM Team Singularity","Round 2 Round 2 July 07, 2022 - 18:45 EDTStorm Point Cloud9 TSM Team Singularity","Round 3 Round 3 July 07, 2022 - 19:15 EDTStorm Point TSM GMT Esports OpTic Gaming","Round 3 Round 3 July 07, 2022 - 19:15 EDTStorm Point TSM GMT Esports OpTic Gaming","Round 4 Round 4 July 07, 2022 - 19:45 EDTWorld's Edge Cloud9 Element 6 FURIA Esports","Round 4 Round 4 July 07, 2022 - 19:45 EDTWorld's Edge Cloud9 Element 6 FURIA Esports","Round 5 Round 5 July 07, 2022 - 20:15 EDTWorld's Edge Invictus Gaming International Team Singularity TSM","Round 5 Round 5 July 07, 2022 - 20:15 EDTWorld's Edge Invictus Gaming International Team Singularity TSM","Round 6 Round 6 July 07, 2022 - 20:45 EDTWorld's Edge Elev8 Entertainment OpTic Gaming PULVEREX","Round 6 Round 6 July 07, 2022 - 20:45 EDTWorld's Edge Elev8 Entertainment OpTic Gaming PULVEREX"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TSM,61,7,2,2,8,1,7,10,0,3,3,5,4
1,2.0,FUR,60,16,3,5,15,15,6,3,7,12,7,13,8
2,3.0,C9,58,17,0,1,6,5,2,1,6,4,5,8,4
3,4.0,OG,53,2,7,17,0,3,2,4,10,9,0,2,2
4,5.0,SNG,50,4,5,3,6,13,0,8,2,2,9,6,1
5,6.0,DF,47,1,20,16,6,9,6,11,0,20,0,20,0
6,7.0,E8,45,5,2,11,2,16,0,5,2,7,0,1,15
7,8.0,E6,43,6,5,8,1,6,6,2,3,17,3,9,6
8,9.0,GMT,35,11,1,19,0,2,10,13,9,18,1,12,2
9,10.0,IG,31,14,1,12,1,8,3,16,0,1,8,15,1
10,11.0,BRGR,30,3,6,10,0,10,1,18,0,13,1,4,5
11,12.0,PVX,29,9,1,15,0,7,3,9,2,5,3,3,1
12,13.0,ALL,20,19,0,18,0,18,0,7,6,6,2,7,3
13,14.0,LG,20,18,1,6,0,4,5,19,0,8,2,14,1
14,15.0,DNG,13,10,1,4,2,14,1,17,0,14,0,19,0
15,16.0,FNX,10,13,0,13,3,12,0,6,1,16,0,18,0
16,17.0,ODK,8,8,0,20,0,17,0,12,0,15,4,16,0
17,18.0,FSV,8,15,0,9,1,11,0,20,0,10,1,17,0
18,19.0,ORF,7,12,0,7,0,20,0,14,1,19,0,11,0
19,20.0,1IQ,5,20,0,14,0,19,0,15,0,11,0,10,0
