,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 July 08, 2022 - 13:00 EDTWorld's Edge FURIA Esports Fênix Team EXO Clan","Round 1 Round 1 July 08, 2022 - 13:00 EDTWorld's Edge FURIA Esports Fênix Team EXO Clan","Round 2 Round 2 July 08, 2022 - 13:30 EDTWorld's Edge Team Singularity FURIA Esports Luminosity Gaming","Round 2 Round 2 July 08, 2022 - 13:30 EDTWorld's Edge Team Singularity FURIA Esports Luminosity Gaming","Round 3 Round 3 July 08, 2022 - 14:00 EDTWorld's Edge EXO Clan Fênix Team NRG","Round 3 Round 3 July 08, 2022 - 14:00 EDTWorld's Edge EXO Clan Fênix Team NRG","Round 4 Round 4 July 08, 2022 - 14:30 EDTStorm Point Cloud9 Sutoraiku NRG","Round 4 Round 4 July 08, 2022 - 14:30 EDTStorm Point Cloud9 Sutoraiku NRG","Round 5 Round 5 July 08, 2022 - 15:00 EDTStorm Point Element 6 EXO Clan Luminosity Gaming","Round 5 Round 5 July 08, 2022 - 15:00 EDTStorm Point Element 6 EXO Clan Luminosity Gaming","Round 6 Round 6 July 08, 2022 - 15:30 EDTStorm Point Team Liquid Element 6 GØDFIRE","Round 6 Round 6 July 08, 2022 - 15:30 EDTStorm Point Team Liquid Element 6 GØDFIRE"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FUR,68,1,5,2,12,11,6,16,3,12,3,6,13
1,2.0,EXO,57,3,4,16,0,1,14,11,0,2,9,12,0
2,3.0,FNX,51,2,8,19,0,2,5,5,1,4,3,13,6
3,4.0,SNG,49,6,5,1,8,4,7,20,1,15,3,5,0
4,5.0,E6,48,5,7,17,1,19,0,17,0,1,12,2,3
5,6.0,NRG,46,8,5,12,3,3,3,3,3,5,5,7,3
6,7.0,LG,46,9,4,3,5,5,2,4,3,3,7,20,0
7,8.0,TL,38,12,0,8,4,9,2,8,0,13,2,1,10
8,9.0,C9,32,11,2,15,3,13,5,1,6,14,0,19,0
9,10.0,SZ,28,10,2,4,2,10,3,19,2,19,0,4,5
10,11.0,FNC,27,4,8,14,0,15,4,10,6,17,0,16,0
11,12.0,E8,27,15,3,7,3,6,2,9,4,10,3,14,0
12,13.0,STK,27,17,0,13,0,8,2,2,10,8,1,17,0
13,14.0,RC,19,18,0,5,2,16,0,7,6,11,0,15,2
14,15.0,INF,19,14,0,10,2,7,0,6,2,9,2,9,0
15,16.0,GFR,18,16,0,6,3,20,0,14,0,18,0,3,4
16,17.0,ODK,16,19,0,9,3,14,1,15,0,16,3,11,4
17,18.0,PVX,12,7,1,11,1,17,0,18,0,6,1,8,0
18,19.0,FAK,11,20,0,18,1,18,0,12,1,7,2,10,1
19,20.0,GMT,8,13,0,20,0,12,4,13,1,20,0,18,0
