Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
1.0,DZ,70,12,0,16,0,13,3,7,5,7,5,5,3,2,7,9,1,1,6,8
2.0,FUR,85,15,2,1,15,17,0,16,3,2,13,9,5,11,10,15,2,16,0,5
3.0,100T,75,14,0,3,5,2,7,12,0,3,6,7,1,1,13,20,0,14,2,7
4.0,FNC,74,4,2,20,0,8,1,1,15,14,1,13,0,7,6,2,11,10,3,8
5.0,GMT,69,1,9,4,5,5,6,14,2,10,0,8,1,4,7,19,0,4,3,7
6.0,SSG,68,10,2,9,0,20,0,3,8,11,3,17,2,3,5,10,1,2,9,8
7.0,TSM,64,7,9,7,2,14,0,2,3,4,0,11,0,9,0,8,5,3,12,9
8.0,ALL,61,20,0,18,0,1,9,6,1,13,0,6,2,19,0,1,10,7,5,8
9.0,NRG,55,3,8,13,1,4,5,20,0,18,0,4,3,8,1,11,2,15,3,8
10.0,αD,54,6,7,2,6,12,0,15,0,9,6,16,4,10,0,6,1,6,0,8
11.0,SZ,53,8,0,14,5,6,5,18,2,19,0,3,12,14,0,3,4,12,3,9
12.0,TL,50,19,1,11,2,9,4,4,7,5,0,2,3,16,2,7,4,9,1,9
13.0,EXO,48,16,0,17,0,18,0,9,5,17,0,1,12,6,6,12,0,17,0,-
14.0,AYM,46,13,0,6,2,10,1,17,0,1,14,12,0,5,3,14,0,11,1,-
15.0,C9,40,2,12,12,1,16,2,10,3,20,0,19,2,15,1,13,3,18,0,-
16.0,OG,38,18,2,5,7,15,0,19,0,6,3,18,2,13,0,4,4,5,2,-
17.0,BRGR,31,9,2,8,1,11,1,8,1,15,1,15,1,12,0,5,7,20,0,-
18.0,ZETA,29,11,1,15,2,7,8,11,3,16,2,10,0,20,0,17,1,8,1,-
19.0,IG,26,5,0,19,0,3,5,13,0,12,2,20,1,17,0,18,0,13,0,-
20.0,ACE,16,17,0,10,3,19,0,5,0,8,2,14,0,18,0,16,0,19,2,-
