Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,Stage
1.0,ALL,84,1,19,16,1,15,3,2,15,12,9,13,3,5,6,18,0,Round 1
2.0,RC,84,7,4,5,3,1,12,7,9,1,12,11,5,15,3,17,0,Round 1
3.0,GMT,80,15,0,17,3,4,7,8,5,2,8,15,4,3,10,4,13,Round 1
4.0,ORF,72,12,0,1,7,9,0,5,4,3,1,2,9,4,4,9,5,Round 1
5.0,ACE,70,4,5,2,14,16,0,12,2,6,3,6,3,1,9,14,0,Round 1
6.0,AYM,66,5,5,18,1,7,4,20,0,10,3,3,5,2,3,1,8,Round 1
7.0,STK,58,2,6,20,0,6,8,11,5,19,0,1,9,11,1,16,3,Round 1
8.0,GFR,44,19,0,15,0,14,0,1,5,5,5,8,3,9,1,5,4,Round 1
9.0,FAK,41,11,3,12,6,2,2,14,1,14,1,5,4,6,0,10,2,Round 1
10.0,PVX,32,9,0,4,1,10,0,3,2,13,1,17,0,8,0,3,2,Round 1
11.0,FSV,31,16,1,10,0,17,0,4,2,7,1,12,0,14,1,2,5,Round 1
12.0,ODK,31,13,0,14,2,3,3,9,0,9,0,7,2,17,3,8,3,Round 1
13.0,INF,26,14,0,11,3,8,1,6,1,4,4,18,0,16,2,13,2,Round 1
14.0,CR,24,18,0,3,0,5,3,16,0,8,0,4,2,20,0,15,0,Round 1
15.0,E8,24,10,2,7,2,19,2,19,0,20,0,10,2,10,2,6,2,Round 1
16.0,FNX,22,3,5,6,2,18,0,18,0,15,0,14,1,13,1,19,0,Round 1
17.0,BRU,17,6,2,13,2,12,3,10,0,16,2,19,0,12,0,20,0,Round 1
18.0,DNG,15,17,0,9,0,11,2,17,0,17,0,20,0,7,3,7,1,Round 1
19.0,FL,14,8,1,8,1,13,0,15,0,11,1,9,1,19,0,11,0,Round 1
20.0,1IQ,5,20,0,19,0,20,0,13,0,18,0,16,0,17,3,12,0,Round 1
1.0,NRG,92,2,6,11,1,1,10,8,5,4,2,5,1,1,11,3,4,Round 3
2.0,FUR,67,16,3,18,0,4,14,9,9,12,2,11,1,13,0,1,16,Round 3
3.0,SSG,61,17,0,5,6,10,0,1,8,3,3,4,5,7,3,15,2,Round 3
4.0,EXO,53,11,2,7,3,2,7,2,7,16,1,6,5,16,3,20,0,Round 3
5.0,αD,51,3,6,14,1,17,0,12,0,7,0,1,9,14,2,4,3,Round 3
6.0,DZ,50,13,4,2,4,7,0,16,3,11,4,19,0,2,11,12,0,Round 3
7.0,IG,46,8,2,10,0,16,2,4,6,10,0,2,11,9,0,10,1,Round 3
8.0,BRGR,46,10,1,8,8,9,1,15,1,5,6,3,5,10,4,19,0,Round 3
9.0,C9,44,5,6,4,8,12,0,19,0,15,3,14,2,15,0,6,9,Round 3
10.0,ZETA,43,15,0,1,14,8,3,14,0,18,0,9,1,18,0,5,3,Round 3
11.0,TL,41,18,0,20,0,20,0,20,0,1,10,17,0,11,1,2,8,Round 3
12.0,TSM,40,1,9,15,0,14,0,7,2,19,1,10,3,17,0,9,4,Round 3
13.0,SNG,40,4,1,12,1,5,1,6,0,6,0,13,3,4,7,7,2,Round 3
14.0,FNC,36,12,1,16,0,15,2,17,0,2,10,8,1,3,1,13,0,Round 3
15.0,100T,33,20,0,3,3,6,0,3,6,13,0,12,0,12,2,8,0,Round 3
16.0,OG,32,14,1,9,1,3,11,11,2,14,1,15,3,19,0,17,0,Round 3
17.0,SZ,31,9,0,13,0,11,0,13,1,9,4,7,2,6,8,14,2,Round 3
18.0,DF,31,6,7,17,3,18,3,10,1,17,0,18,1,5,1,11,5,Round 3
19.0,LG,20,7,5,19,0,13,0,5,3,20,0,20,0,8,2,18,0,Round 3
20.0,E6,19,19,0,6,3,19,0,18,1,8,6,16,3,20,0,16,1,Round 3
1.0,100T,88,1,13,1,11,1,12,3,5,15,0,14,0,17,0,9,0,Round 5
2.0,OG,78,13,0,3,11,4,8,7,4,18,0,10,1,1,14,5,6,Round 5
3.0,TL,57,6,4,16,0,19,3,11,1,13,0,1,10,11,3,1,6,Round 5
4.0,ALL,55,10,3,17,0,2,6,12,5,17,2,9,3,16,0,2,13,Round 5
5.0,SZ,54,2,4,6,4,15,0,15,0,16,0,4,8,14,0,3,11,Round 5
6.0,ACE,49,20,0,7,2,10,3,1,11,7,2,18,0,2,1,13,0,Round 5
7.0,GMT,48,15,0,5,3,5,5,17,1,5,11,17,0,4,6,14,3,Round 5
8.0,AYM,48,3,5,11,2,7,3,4,4,3,3,7,4,13,0,17,0,Round 5
9.0,TSM,45,7,1,19,0,11,2,14,2,1,6,15,0,8,7,4,2,Round 5
10.0,FNC,41,8,4,18,0,9,0,20,0,2,13,5,0,7,3,11,0,Round 5
11.0,FAK,41,19,0,2,3,17,1,5,2,4,2,2,6,19,0,16,0,Round 5
12.0,LG,40,5,5,8,2,16,0,10,0,6,2,3,6,10,1,6,1,Round 5
13.0,GFR,40,4,5,13,1,8,2,9,3,9,7,19,0,6,0,8,5,Round 5
14.0,SNG,35,9,5,14,4,18,0,19,0,10,1,8,3,5,7,7,1,Round 5
15.0,PVX,30,11,0,20,0,6,2,6,1,8,1,16,0,3,7,12,2,Round 5
16.0,RC,25,12,1,10,1,3,3,13,3,20,1,20,0,12,4,19,0,Round 5
17.0,E6,25,16,0,4,3,12,2,16,0,19,0,12,3,18,3,10,5,Round 5
18.0,STK,24,17,0,15,0,20,0,2,8,11,2,13,2,20,0,18,0,Round 5
19.0,DF,21,14,1,12,1,14,2,8,2,12,3,11,3,9,0,20,0,Round 5
20.0,ORF,18,18,0,9,4,13,0,18,0,14,0,6,5,15,0,15,0,Round 5
