Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split,Region
CR,104,1,11,14,5,14,4,1,15,2,15,3,12,Round 10,Split_1,APAC_North
V3,55,8,2,10,3,3,6,4,6,18,0,1,10,Round 10,Split_1,APAC_North
Flora,50,20,0,4,6,1,10,3,5,19,0,7,2,Round 10,Split_1,APAC_North
GW,47,17,2,1,13,5,0,10,1,3,4,14,1,Round 10,Split_1,APAC_North
USG,41,15,0,20,0,13,2,2,9,1,6,15,0,Round 10,Split_1,APAC_North
DTN,36,2,5,13,0,12,4,14,1,20,0,2,5,Round 10,Split_1,APAC_North
FL,35,10,9,16,0,4,6,15,0,15,3,10,6,Round 10,Split_1,APAC_North
FLCO,34,13,6,6,0,7,4,11,1,4,6,5,0,Round 10,Split_1,APAC_North
RID,33,4,2,3,4,9,1,9,0,17,4,6,3,Round 10,Split_1,APAC_North
MTR,28,14,0,17,0,2,11,12,0,6,2,13,0,Round 10,Split_1,APAC_North
RZ,26,5,5,9,1,15,0,16,3,14,3,11,5,Round 10,Split_1,APAC_North
BEXT,25,6,5,12,0,18,2,13,2,9,4,8,3,Round 10,Split_1,APAC_North
IGZ,25,3,4,5,2,16,0,8,1,5,0,12,0,Round 10,Split_1,APAC_North
NTH,24,7,0,2,1,8,0,6,2,7,1,16,0,Round 10,Split_1,APAC_North
TW,23,11,1,8,10,6,3,17,1,12,1,20,0,Round 10,Split_1,APAC_North
CAG,23,12,0,19,0,19,0,5,5,8,0,4,6,Round 10,Split_1,APAC_North
RUG,18,9,1,11,2,17,0,7,3,10,0,9,2,Round 10,Split_1,APAC_North
D4RK,13,19,0,15,3,10,6,19,0,16,1,19,0,Round 10,Split_1,APAC_North
ALV,12,16,0,7,5,11,0,18,0,13,2,18,0,Round 10,Split_1,APAC_North
QF,10,18,4,18,0,20,0,20,0,11,5,17,0,Round 10,Split_1,APAC_North
CR,86,8,3,12,0,14,4,1,12,1,18,1,9,Round 11,Split_1,APAC_North
RC,70,4,8,8,8,2,7,3,5,13,6,4,7,Round 11,Split_1,APAC_North
FL,54,16,0,1,9,9,9,18,0,12,0,2,12,Round 11,Split_1,APAC_North
UNI,48,2,3,4,5,12,3,7,1,6,2,3,6,Round 11,Split_1,APAC_North
