Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,P.8,K.8,P.9,K.9,MP #,Region
1.0,RID,112,3,6,5,6,3,7,3,15,17,0,6.0,0.0,12.0,2.0,4.0,4.0,6.0,1.0,1.0,12.0,4,APAC_North
2.0,UNI,106,6,4,3,10,2,8,5,5,3,4,11.0,0.0,4.0,5.0,17.0,1.0,2.0,4.0,3.0,7.0,4,APAC_North
3.0,Flora,98,1,7,1,8,11,3,12,3,7,1,2.0,5.0,6.0,2.0,3.0,5.0,7.0,0.0,9.0,4.0,3,APAC_North
4.0,V3,84,14,1,15,0,1,4,1,9,1,10,20.0,0.0,2.0,6.0,20.0,0.0,16.0,0.0,5.0,3.0,5,APAC_North
5.0,FL,65,10,7,10,0,13,1,13,2,10,3,3.0,6.0,8.0,7.0,14.0,0.0,3.0,6.0,14.0,5.0,9,APAC_North
6.0,QF,63,18,0,19,2,12,5,4,1,4,5,1.0,13.0,10.0,0.0,6.0,3.0,4.0,1.0,16.0,0.0,7,APAC_North
7.0,RC,63,4,0,16,1,9,1,10,1,18,3,5.0,10.0,17.0,0.0,1.0,11.0,14.0,0.0,8.0,0.0,8,APAC_North
8.0,FCD,60,2,14,17,0,17,1,20,1,20,0,13.0,0.0,13.0,4.0,16.0,0.0,1.0,15.0,11.0,1.0,9,APAC_North
9.0,GTS,57,12,3,9,0,4,1,11,1,5,8,9.0,3.0,5.0,2.0,5.0,6.0,10.0,5.0,7.0,0.0,9,APAC_North
10.0,RIG-N,56,5,2,6,1,6,3,16,3,14,0,10.0,6.0,20.0,0.0,9.0,4.0,5.0,8.0,15.0,0.0,9,APAC_North
11.0,GW,52,9,3,12,1,14,0,6,3,2,4,19.0,1.0,11.0,2.0,11.0,4.0,13.0,5.0,4.0,4.0,10,APAC_North
12.0,CR,50,7,2,7,9,5,8,17,1,9,7,17.0,3.0,18.0,0.0,18.0,0.0,19.0,0.0,19.0,3.0,10,APAC_North
13.0,IBSG,49,8,3,2,9,10,5,14,0,13,3,15.0,0.0,7.0,0.0,13.0,0.0,11.0,3.0,10.0,0.0,-,APAC_North
14.0,456,48,11,0,13,3,16,1,7,0,11,2,12.0,2.0,1.0,10.0,19.0,0.0,15.0,0.0,6.0,3.0,-,APAC_North
15.0,RXC,46,19,0,20,0,15,2,8,9,12,0,7.0,3.0,3.0,12.0,12.0,0.0,9.0,1.0,18.0,2.0,-,APAC_North
16.0,LAG,39,20,0,4,2,20,0,9,2,8,3,18.0,0.0,14.0,1.0,2.0,9.0,17.0,3.0,17.0,0.0,-,APAC_North
17.0,FAV,39,13,1,14,5,18,0,18,0,6,1,16.0,1.0,15.0,1.0,7.0,4.0,12.0,2.0,2.0,5.0,-,APAC_North
18.0,UC,29,15,0,11,0,7,4,15,1,19,0,14.0,2.0,9.0,0.0,8.0,2.0,8.0,2.0,12.0,4.0,-,APAC_North
19.0,SG,22,16,0,18,0,19,0,2,0,16,1,4.0,0.0,16.0,0.0,10.0,3.0,20.0,0.0,13.0,1.0,-,APAC_North
20.0,D4RK,12,17,2,8,0,8,0,19,0,15,0,8.0,0.0,19.0,1.0,15.0,1.0,18.0,0.0,20.0,0.0,-,APAC_North
1.0,DF,87,10,4,3,2,1,11,7,1,5,3,13.0,2.0,5.0,3.0,17.0,0.0,1.0,9.0,,,5,APAC_South
2.0,RIG,114,4,6,5,7,9,0,4,2,2,13,6.0,1.0,3.0,3.0,2.0,13.0,2.0,6.0,,,5,APAC_South
3.0,BRGR,79,7,2,4,6,5,0,11,1,1,7,1.0,11.0,7.0,0.0,12.0,2.0,15.0,0.0,,,6,APAC_South
4.0,EXO,74,2,2,11,0,12,3,10,6,8,14,18.0,0.0,2.0,8.0,10.0,1.0,6.0,2.0,,,7,APAC_South
5.0,STK,68,9,6,7,0,4,4,2,9,15,4,3.0,6.0,8.0,3.0,15.0,0.0,12.0,1.0,,,6,APAC_South
6.0,ITR,66,17,0,6,9,6,5,6,7,9,0,20.0,0.0,4.0,3.0,5.0,10.0,8.0,7.0,,,8,APAC_South
7.0,RET,62,3,4,9,4,8,1,5,2,10,2,8.0,3.0,14.0,1.0,1.0,5.0,3.0,1.0,,,8,APAC_South
8.0,KAK,59,1,16,16,0,20,0,3,7,4,1,15.0,0.0,13.0,5.0,11.0,0.0,9.0,1.0,,,7,APAC_South
9.0,BRP,54,5,1,15,0,2,7,1,6,14,2,16.0,2.0,18.0,0.0,13.0,0.0,5.0,4.0,,,9,APAC_South
10.0,OC,50,18,1,1,10,7,3,19,0,17,0,5.0,2.0,6.0,6.0,6.0,3.0,17.0,0.0,,,8,APAC_South
11.0,WAT,49,8,2,10,0,3,4,18,0,3,2,11.0,1.0,1.0,9.0,16.0,0.0,19.0,0.0,,,-,APAC_South
12.0,ATH,48,19,0,2,3,13,3,14,0,13,1,10.0,1.0,16.0,1.0,19.0,0.0,4.0,14.0,,,-,APAC_South
13.0,MDY,43,6,4,18,1,17,3,9,4,11,0,17.0,0.0,10.0,7.0,4.0,7.0,14.0,2.0,,,-,APAC_South
14.0,PK,42,13,0,14,8,14,0,8,1,18,1,4.0,6.0,20.0,0.0,3.0,3.0,10.0,2.0,,,-,APAC_South
15.0,TX,32,12,4,19,0,18,0,12,4,19,2,2.0,8.0,11.0,1.0,18.0,1.0,18.0,0.0,,,-,APAC_South
16.0,GS,32,16,2,12,1,19,5,15,0,12,1,7.0,5.0,19.0,1.0,7.0,4.0,13.0,3.0,,,-,APAC_South
17.0,STB,31,14,0,13,2,10,3,13,4,6,4,12.0,4.0,15.0,2.0,20.0,0.0,11.0,1.0,,,-,APAC_South
18.0,M2M,22,15,1,8,2,11,0,16,0,20,0,9.0,0.0,12.0,1.0,8.0,4.0,20.0,0.0,,,-,APAC_South
19.0,WGG,13,11,1,17,0,16,1,20,0,16,0,14.0,0.0,9.0,0.0,9.0,2.0,7.0,0.0,,,-,APAC_South
20.0,O3,8,20,0,20,0,15,2,17,0,7,1,19.0,0.0,17.0,0.0,14.0,0.0,16.0,0.0,,,-,APAC_South
1.0,NEW,77,11,0,4,5,16,1,18,2,18,0,6.0,4.0,9.0,3.0,1.0,15.0,11.0,4.0,1.0,7.0,8,EMEA
2.0,ALL,116,2,12,1,10,5,6,17,0,4,2,3.0,6.0,3.0,8.0,11.0,2.0,4.0,8.0,7.0,0.0,2,EMEA
