Match Point Progression,Team,1,2,3,4,5,6,7,8,9,10,Region
3.0,Flora,26,46,50,54,58,72.0,77.0,89.0,92.0,98.0,APAC_North
1.0,RID,23,33,47,69,69,72.0,75.0,84.0,88.0,112.0,APAC_North
2.0,UNI,13,30,47,56,67,68.0,78.0,79.0,92.0,106.0,APAC_North
4.0,V3,2,3,19,40,62,62.0,77.0,77.0,77.0,84.0,APAC_North
6.0,QF,0,2,8,14,24,49.0,51.0,57.0,63.0,63.0,APAC_North
7.0,RC,13,14,17,20,23,37.0,37.0,60.0,61.0,63.0,APAC_North
5.0,FL,11,13,15,18,23,36.0,45.0,46.0,59.0,65.0,APAC_North
8.0,FCD,23,23,24,25,25,26.0,31.0,31.0,58.0,60.0,APAC_North
9.0,GTS,4,6,12,14,26,31.0,37.0,47.0,54.0,57.0,APAC_North
10.0,RIG-N,15,19,25,28,29,37.0,37.0,43.0,55.0,56.0,APAC_North
11.0,GW,6,8,9,15,28,29.0,32.0,37.0,43.0,52.0,APAC_North
12.0,CR,10,22,34,35,44,47.0,47.0,47.0,47.0,50.0,APAC_North
1.0,DF,13,22,45,49,56,59.0,66.0,66.0,87.0,,APAC_South
2.0,RIG,21,32,34,41,63,67.0,77.0,99.0,114.0,,APAC_South
3.0,BRGR,13,24,28,30,49,72.0,75.0,78.0,79.0,,APAC_South
5.0,STK,12,15,24,42,47,60.0,65.0,66.0,68.0,,APAC_South
4.0,EXO,20,21,25,33,49,49.0,66.0,69.0,74.0,,APAC_South
8.0,KAK,28,28,28,42,48,49.0,55.0,56.0,59.0,,APAC_South
6.0,ITR,3,15,23,33,35,35.0,43.0,57.0,66.0,,APAC_South
7.0,RET,11,17,20,26,30,35.0,37.0,54.0,62.0,,APAC_South
10.0,OC,1,23,29,29,29,35.0,44.0,50.0,50.0,,APAC_South
9.0,BRP,5,6,22,40,43,45.0,45.0,46.0,54.0,,APAC_South
2.0,ALL,30,52,62,62,69,82.0,97.0,100.0,113.0,116.0,EMEA
3.0,GMB,17,36,59,60,66,73.0,79.0,86.0,92.0,100.0,EMEA
4.0,IG,29,37,54,71,73,74.0,74.0,74.0,75.0,88.0,EMEA
5.0,69IQ,12,20,21,21,42,53.0,61.0,67.0,78.0,85.0,EMEA
6.0,MP,3,7,10,32,44,44.0,55.0,59.0,65.0,68.0,EMEA
9.0,GMT,6,9,18,32,47,47.0,54.0,56.0,57.0,57.0,EMEA
1.0,NEW,1,11,12,14,14,21.0,26.0,53.0,58.0,77.0,EMEA
7.0,RBL,2,8,10,13,13,39.0,45.0,48.0,50.0,58.0,EMEA
8.0,HRZN,5,5,9,21,24,34.0,34.0,42.0,53.0,58.0,EMEA
10.0,GUILD,17,26,29,33,33,33.0,33.0,41.0,50.0,55.0,EMEA
11.0,SOL,2,2,2,11,27,28.0,32.0,32.0,53.0,53.0,EMEA
12.0,K1CK,7,10,28,38,45,45.0,47.0,47.0,49.0,53.0,EMEA
1.0,TSM,28,30,39,58,65,65.0,93.0,,,,North_America
3.0,ESA,13,22,28,47,51,53.0,60.0,,,,North_America
2.0,NRG,28,34,34,38,43,59.0,62.0,,,,North_America
4.0,SEN,10,11,13,34,35,57.0,59.0,,,,North_America
7.0,PGG,1,21,27,27,43,50.0,54.0,,,,North_America
5.0,TOR,2,2,15,26,48,49.0,58.0,,,,North_America
6.0,C9,6,7,9,15,28,48.0,58.0,,,,North_America
1.0,SNG,33,43,49,57,82,,,,,,South_America
2.0,FNX,12,27,30,46,51,,,,,,South_America
