Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,Stage,Round,P.8,K.8,MP #
1,ALL,84,1,19,16,1,15,3,2,15,12,9,13,3,5,6,18,0,Round 1,Bracket Stage,,,
2,RC,84,7,4,5,3,1,12,7,9,1,12,11,5,15,3,17,0,Round 1,Bracket Stage,,,
3,GMT,80,15,0,17,3,4,7,8,5,2,8,15,4,3,10,4,13,Round 1,Bracket Stage,,,
4,ORF,72,12,0,1,7,9,0,5,4,3,1,2,9,4,4,9,5,Round 1,Bracket Stage,,,
5,ACE,70,4,5,2,14,16,0,12,2,6,3,6,3,1,9,14,0,Round 1,Bracket Stage,,,
6,AYM,66,5,5,18,1,7,4,20,0,10,3,3,5,2,3,1,8,Round 1,Bracket Stage,,,
7,STK,58,2,6,20,0,6,8,11,5,19,0,1,9,11,1,16,3,Round 1,Bracket Stage,,,
8,GFR,44,19,0,15,0,14,0,1,5,5,5,8,3,9,1,5,4,Round 1,Bracket Stage,,,
9,FAK,41,11,3,12,6,2,2,14,1,14,1,5,4,6,0,10,2,Round 1,Bracket Stage,,,
10,PVX,32,9,0,4,1,10,0,3,2,13,1,17,0,8,0,3,2,Round 1,Bracket Stage,,,
11,FSV,31,16,1,10,0,17,0,4,2,7,1,12,0,14,1,2,5,Round 1,Bracket Stage,,,
12,ODK,31,13,0,14,2,3,3,9,0,9,0,7,2,17,3,8,3,Round 1,Bracket Stage,,,
13,INF,26,14,0,11,3,8,1,6,1,4,4,18,0,16,2,13,2,Round 1,Bracket Stage,,,
14,CR,24,18,0,3,0,5,3,16,0,8,0,4,2,20,0,15,0,Round 1,Bracket Stage,,,
15,E8,24,10,2,7,2,19,2,19,0,20,0,10,2,10,2,6,2,Round 1,Bracket Stage,,,
16,FNX,22,3,5,6,2,18,0,18,0,15,0,14,1,13,1,19,0,Round 1,Bracket Stage,,,
17,BRU,17,6,2,13,2,12,3,10,0,16,2,19,0,12,0,20,0,Round 1,Bracket Stage,,,
18,DNG,15,17,0,9,0,11,2,17,0,17,0,20,0,7,3,7,1,Round 1,Bracket Stage,,,
19,FL,14,8,1,8,1,13,0,15,0,11,1,9,1,19,0,11,0,Round 1,Bracket Stage,,,
20,1IQ,5,20,0,19,0,20,0,13,0,18,0,16,0,17,3,12,0,Round 1,Bracket Stage,,,
1,NRG,92,2,6,11,1,1,10,8,5,4,2,5,1,1,11,3,4,Round 3,Bracket Stage,,,
2,FUR,67,16,3,18,0,4,14,9,9,12,2,11,1,13,0,1,16,Round 3,Bracket Stage,,,
3,SSG,61,17,0,5,6,10,0,1,8,3,3,4,5,7,3,15,2,Round 3,Bracket Stage,,,
4,EXO,53,11,2,7,3,2,7,2,7,16,1,6,5,16,3,20,0,Round 3,Bracket Stage,,,
5,αD,51,3,6,14,1,17,0,12,0,7,0,1,9,14,2,4,3,Round 3,Bracket Stage,,,
6,DZ,50,13,4,2,4,7,0,16,3,11,4,19,0,2,11,12,0,Round 3,Bracket Stage,,,
7,IG,46,8,2,10,0,16,2,4,6,10,0,2,11,9,0,10,1,Round 3,Bracket Stage,,,
8,BRGR,46,10,1,8,8,9,1,15,1,5,6,3,5,10,4,19,0,Round 3,Bracket Stage,,,
9,C9,44,5,6,4,8,12,0,19,0,15,3,14,2,15,0,6,9,Round 3,Bracket Stage,,,
10,ZETA,43,15,0,1,14,8,3,14,0,18,0,9,1,18,0,5,3,Round 3,Bracket Stage,,,
11,TL,41,18,0,20,0,20,0,20,0,1,10,17,0,11,1,2,8,Round 3,Bracket Stage,,,
12,TSM,40,1,9,15,0,14,0,7,2,19,1,10,3,17,0,9,4,Round 3,Bracket Stage,,,
13,SNG,40,4,1,12,1,5,1,6,0,6,0,13,3,4,7,7,2,Round 3,Bracket Stage,,,
14,FNC,36,12,1,16,0,15,2,17,0,2,10,8,1,3,1,13,0,Round 3,Bracket Stage,,,
15,100T,33,20,0,3,3,6,0,3,6,13,0,12,0,12,2,8,0,Round 3,Bracket Stage,,,
16,OG,32,14,1,9,1,3,11,11,2,14,1,15,3,19,0,17,0,Round 3,Bracket Stage,,,
17,SZ,31,9,0,13,0,11,0,13,1,9,4,7,2,6,8,14,2,Round 3,Bracket Stage,,,
18,DF,31,6,7,17,3,18,3,10,1,17,0,18,1,5,1,11,5,Round 3,Bracket Stage,,,
19,LG,20,7,5,19,0,13,0,5,3,20,0,20,0,8,2,18,0,Round 3,Bracket Stage,,,
20,E6,19,19,0,6,3,19,0,18,1,8,6,16,3,20,0,16,1,Round 3,Bracket Stage,,,
1,100T,88,1,13,1,11,1,12,3,5,15,0,14,0,17,0,9,0,Round 5,Bracket Stage,,,
2,OG,78,13,0,3,11,4,8,7,4,18,0,10,1,1,14,5,6,Round 5,Bracket Stage,,,
3,TL,57,6,4,16,0,19,3,11,1,13,0,1,10,11,3,1,6,Round 5,Bracket Stage,,,
4,ALL,55,10,3,17,0,2,6,12,5,17,2,9,3,16,0,2,13,Round 5,Bracket Stage,,,
5,SZ,54,2,4,6,4,15,0,15,0,16,0,4,8,14,0,3,11,Round 5,Bracket Stage,,,
6,ACE,49,20,0,7,2,10,3,1,11,7,2,18,0,2,1,13,0,Round 5,Bracket Stage,,,
7,GMT,48,15,0,5,3,5,5,17,1,5,11,17,0,4,6,14,3,Round 5,Bracket Stage,,,
8,AYM,48,3,5,11,2,7,3,4,4,3,3,7,4,13,0,17,0,Round 5,Bracket Stage,,,
9,TSM,45,7,1,19,0,11,2,14,2,1,6,15,0,8,7,4,2,Round 5,Bracket Stage,,,
10,FNC,41,8,4,18,0,9,0,20,0,2,13,5,0,7,3,11,0,Round 5,Bracket Stage,,,
11,FAK,41,19,0,2,3,17,1,5,2,4,2,2,6,19,0,16,0,Round 5,Bracket Stage,,,
12,LG,40,5,5,8,2,16,0,10,0,6,2,3,6,10,1,6,1,Round 5,Bracket Stage,,,
13,GFR,40,4,5,13,1,8,2,9,3,9,7,19,0,6,0,8,5,Round 5,Bracket Stage,,,
14,SNG,35,9,5,14,4,18,0,19,0,10,1,8,3,5,7,7,1,Round 5,Bracket Stage,,,
15,PVX,30,11,0,20,0,6,2,6,1,8,1,16,0,3,7,12,2,Round 5,Bracket Stage,,,
16,RC,25,12,1,10,1,3,3,13,3,20,1,20,0,12,4,19,0,Round 5,Bracket Stage,,,
17,E6,25,16,0,4,3,12,2,16,0,19,0,12,3,18,3,10,5,Round 5,Bracket Stage,,,
18,STK,24,17,0,15,0,20,0,2,8,11,2,13,2,20,0,18,0,Round 5,Bracket Stage,,,
19,DF,21,14,1,12,1,14,2,8,2,12,3,11,3,9,0,20,0,Round 5,Bracket Stage,,,
20,ORF,18,18,0,9,4,13,0,18,0,14,0,6,5,15,0,15,0,Round 5,Bracket Stage,,,
1,OG,69,17,1,18,0,1,7,1,8,1,15,10,0,,,,,Round 1,Group Stage,,,
2,EXO,63,7,0,1,8,16,1,7,5,3,5,1,7,,,,,Round 1,Group Stage,,,
3,FNC,50,3,5,3,8,12,1,13,1,9,5,4,7,,,,,Round 1,Group Stage,,,
4,DF,48,1,12,15,0,8,1,5,1,17,0,2,6,,,,,Round 1,Group Stage,,,
5,SZ,44,5,6,9,4,6,3,9,10,16,2,12,7,,,,,Round 1,Group Stage,,,
6,IG,40,20,0,4,4,9,2,2,6,11,7,6,1,,,,,Round 1,Group Stage,,,
7,TL,34,4,4,19,0,13,2,3,7,4,3,20,0,,,,,Round 1,Group Stage,,,
8,ALL,34,2,7,6,0,17,1,15,0,2,4,17,0,,,,,Round 1,Group Stage,,,
9,BRGR,33,9,4,10,3,5,7,19,0,7,2,11,5,,,,,Round 1,Group Stage,,,
10,TSM,32,15,3,13,3,3,10,8,2,18,0,8,1,,,,,Round 1,Group Stage,,,
11,DNG,32,10,0,14,0,7,2,4,1,5,3,3,4,,,,,Round 1,Group Stage,,,
12,STK,29,8,0,5,8,4,2,17,2,6,3,16,0,,,,,Round 1,Group Stage,,,
13,NRG,28,14,1,2,3,10,1,18,0,8,0,7,6,,,,,Round 1,Group Stage,,,
14,FAK,24,13,3,12,1,15,5,11,1,14,0,5,5,,,,,Round 1,Group Stage,,,
15,RC,24,11,2,7,5,11,5,12,0,10,3,13,0,,,,,Round 1,Group Stage,,,
16,ORF,23,12,2,8,3,14,0,6,7,12,0,9,1,,,,,Round 1,Group Stage,,,
17,GFR,18,16,0,17,1,2,3,10,3,19,0,18,0,,,,,Round 1,Group Stage,,,
18,FSV,10,6,5,20,0,18,0,14,0,13,0,19,0,,,,,Round 1,Group Stage,,,
19,INF,6,19,0,11,0,19,1,16,0,15,0,14,2,,,,,Round 1,Group Stage,,,
20,1IQ,4,18,2,16,0,20,0,20,1,20,0,15,0,,,,,Round 1,Group Stage,,,
1,αD,61,6,2,1,8,3,4,20,0,16,0,3,18,,,,,Round 2,Group Stage,,,
2,SNG,53,3,7,3,6,8,2,8,4,2,5,8,0,,,,,Round 2,Group Stage,,,
3,FUR,48,11,4,8,5,4,3,3,11,6,7,20,0,,,,,Round 2,Group Stage,,,
4,SSG,48,1,10,9,4,13,1,6,0,3,3,9,3,,,,,Round 2,Group Stage,,,
5,DZ,42,15,2,7,2,14,3,5,1,8,0,1,11,,,,,Round 2,Group Stage,,,
6,CR,40,2,4,11,5,1,6,17,2,14,0,19,0,,,,,Round 2,Group Stage,,,
7,LG,38,8,6,6,6,12,4,4,4,10,4,13,0,,,,,Round 2,Group Stage,,,
8,E6,36,14,1,4,1,11,1,1,8,13,2,7,0,,,,,Round 2,Group Stage,,,
9,GMT,35,13,1,2,6,7,3,19,0,7,5,14,3,,,,,Round 2,Group Stage,,,
10,100T,33,12,0,20,0,20,0,9,5,5,6,2,6,,,,,Round 2,Group Stage,,,
11,AYM,28,19,0,5,2,17,4,14,4,12,6,10,4,,,,,Round 2,Group Stage,,,
12,ACE,28,10,4,10,6,18,0,12,3,4,3,12,1,,,,,Round 2,Group Stage,,,
13,E8,26,7,3,17,0,9,4,18,0,15,3,5,6,,,,,Round 2,Group Stage,,,
14,ZETA,26,5,5,16,0,5,5,7,5,19,0,16,0,,,,,Round 2,Group Stage,,,
15,FL,25,20,0,14,0,10,1,13,0,1,8,17,0,,,,,Round 2,Group Stage,,,
16,ODK,24,16,0,19,1,2,11,16,0,18,0,6,0,,,,,Round 2,Group Stage,,,
17,C9,21,4,2,13,1,6,3,15,0,17,0,4,0,,,,,Round 2,Group Stage,,,
18,PVX,20,9,0,18,0,16,2,2,6,20,0,11,0,,,,,Round 2,Group Stage,,,
