,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 12:00 BSTStorm Point","Round 1 Round 1 April 16, 2022 - 12:00 BSTStorm Point","Round 2 Round 2 April 16, 2022 - 12:35 BSTStorm Point xDDD Bitfix Gaming SeComportaYa","Round 2 Round 2 April 16, 2022 - 12:35 BSTStorm Point xDDD Bitfix Gaming SeComportaYa","Round 3 Round 3 April 16, 2022 - 13:10 BSTStorm Point Team Huskies Esports Bitfix Gaming drain gang","Round 3 Round 3 April 16, 2022 - 13:10 BSTStorm Point Team Huskies Esports Bitfix Gaming drain gang","Round 4 Round 4 April 16, 2022 - 13:45 BSTWorld's Edge Ratio b0ts Space Pigeons","Round 4 Round 4 April 16, 2022 - 13:45 BSTWorld's Edge Ratio b0ts Space Pigeons","Round 5 Round 5 April 16, 2022 - 14:20 BSTWorld's Edge BimBamGOOM xDDD ZBW","Round 5 Round 5 April 16, 2022 - 14:20 BSTWorld's Edge BimBamGOOM xDDD ZBW","Round 6 Round 6 April 16, 2022 - 14:55 BSTWorld's Edge Rats BimBamGOOM Cool Gaming LTD","Round 6 Round 6 April 16, 2022 - 14:55 BSTWorld's Edge Rats BimBamGOOM Cool Gaming LTD"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RAT,55,6,3,11,5,12,5,13,3,13,9,1,11
1,2.0,XD,55,11,3,1,10,13,4,18,0,2,9,6,3
2,3.0,BBG,54,12,0,18,0,4,7,10,1,1,8,2,9
3,4.0,BFG,52,8,3,2,5,2,9,12,4,8,4,9,2
4,5.0,Ratio,49,6,3,15,3,8,4,1,14,5,3,18,0
5,6.0,b0ts,44,10,8,6,6,7,0,2,1,6,4,10,3
6,7.0,SCTA,43,15,0,3,5,19,1,4,7,14,5,5,7
7,8.0,drain,43,5,6,12,2,3,5,6,8,9,2,12,2
8,9.0,ZBW,43,1,5,10,1,6,2,17,0,3,2,4,4
9,10.0,CG,42,3,7,4,3,18,0,11,4,20,0,3,8
10,11.0,SPPI,39,14,0,5,8,17,3,3,10,7,2,14,0
11,12.0,HKE,28,18,0,7,6,1,6,19,0,17,0,13,0
12,13.0,NIBL,27,2,5,19,0,14,1,16,0,4,1,7,2
13,14.0,P4C,21,4,6,16,0,20,0,7,0,11,5,17,1
14,15.0,YK,17,17,6,14,2,5,1,20,0,18,0,16,3
15,16.0,BGTTS,14,13,0,9,1,11,4,14,0,10,1,15,0
16,17.0,SNK,13,20,0,20,0,15,1,5,2,16,0,8,3
17,18.0,POLSKA,11,9,0,8,0,9,2,8,0,15,0,20,0
18,19.0,UTFT,9,16,0,13,0,10,0,9,2,12,0,11,0
19,20.0,1872,8,19,2,17,1,16,2,15,0,19,2,19,0
