Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,Ratio,76,9,3,20,1,6,3,2,5,2,6,1,17,Finals
2.0,b0ts,68,5,6,2,3,1,9,18,1,6,5,4,6,Finals
3.0,P4C,53,18,1,3,16,4,9,9,4,12,6,15,1,Finals
4.0,UTFT,44,17,3,1,5,2,6,5,0,11,1,16,3,Finals
5.0,SCTA,42,16,0,5,2,14,5,8,3,8,5,3,8,Finals
6.0,ZBW,42,7,2,12,4,9,0,4,0,4,3,2,4,Finals
7.0,drain,39,10,0,19,0,8,2,3,13,3,2,11,1,Finals
8.0,RAT,38,20,1,8,1,5,5,10,1,9,5,6,2,Finals
9.0,SNK,36,12,0,10,4,12,0,7,6,1,6,14,0,Finals
10.0,NIBL,34,15,3,7,3,11,3,1,8,19,0,20,0,Finals
11.0,TTD,29,3,1,16,3,3,3,12,2,5,1,18,0,Finals
12.0,BBG,27,6,3,18,0,20,0,17,5,7,5,17,0,Finals
13.0,BFG,27,4,5,11,1,10,1,16,1,10,0,9,0,Finals
14.0,BGTTS,25,14,2,6,8,13,1,6,3,20,0,12,2,Finals
15.0,CG,24,11,3,14,1,18,3,14,1,14,7,8,2,Finals
16.0,SPPI,20,19,0,4,0,16,0,15,2,17,0,7,9,Finals
17.0,LPOG,20,2,7,13,3,19,0,19,0,18,0,19,0,Finals
18.0,XD,20,13,0,9,0,15,0,13,1,15,1,10,1,Finals
19.0,POLSKA,13,20,0,17,1,7,6,20,0,13,0,13,1,Finals
20.0,NCJA,12,8,3,15,0,17,0,11,0,16,0,5,1,Finals
1.0,P4C,84,1,12,8,2,5,4,3,15,14,0,1,13,Losers_Bracket
2.0,POLSKA,75,2,5,12,2,1,14,1,13,15,0,12,5,Losers_Bracket
3.0,TTD,52,4,5,9,0,4,2,2,4,1,8,17,0,Losers_Bracket
4.0,NCJA,48,10,2,1,9,11,0,5,1,7,5,3,2,Losers_Bracket
5.0,NIBL,43,6,9,15,0,12,0,6,5,3,6,5,4,Losers_Bracket
6.0,SNK,41,3,4,3,6,6,4,4,2,10,0,11,0,Losers_Bracket
7.0,SPPI,38,8,6,2,8,17,0,8,0,4,4,10,0,Losers_Bracket
8.0,LPOG,36,12,2,4,2,7,3,9,3,5,2,4,4,Losers_Bracket
9.0,BGTTS,29,16,1,14,3,3,9,17,2,11,0,9,3,Losers_Bracket
10.0,UTFT,27,7,0,16,0,18,0,15,0,6,6,2,5,Losers_Bracket
11.0,Reset,26,11,1,11,2,13,3,18,0,2,5,7,0,Losers_Bracket
12.0,SLAP,25,9,3,18,0,2,8,13,0,16,1,13,0,Losers_Bracket
13.0,HKE,24,5,0,17,0,14,0,10,1,9,5,6,6,Losers_Bracket
14.0,TNM,19,17,0,6,6,9,0,11,4,17,0,16,3,Losers_Bracket
15.0,ARIS,17,15,0,5,5,10,0,7,0,13,0,15,0,Losers_Bracket
16.0,NBB,14,18,0,13,0,8,1,16,1,8,6,14,0,Losers_Bracket
17.0,KYKLOS,13,14,0,7,4,15,0,12,0,12,0,8,0,Losers_Bracket
18.0,YK,7,13,0,10,1,16,2,14,0,0,0,0,0,Losers_Bracket
19.0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
1.0,RAT,55,6,3,11,5,12,5,13,3,13,9,1,11,Winners_Bracket
2.0,XD,55,11,3,1,10,13,4,18,0,2,9,6,3,Winners_Bracket
3.0,BBG,54,12,0,18,0,4,7,10,1,1,8,2,9,Winners_Bracket
4.0,BFG,52,8,3,2,5,2,9,12,4,8,4,9,2,Winners_Bracket
5.0,Ratio,49,6,3,15,3,8,4,1,14,5,3,18,0,Winners_Bracket
6.0,b0ts,44,10,8,6,6,7,0,2,1,6,4,10,3,Winners_Bracket
7.0,SCTA,43,15,0,3,5,19,1,4,7,14,5,5,7,Winners_Bracket
8.0,drain,43,5,6,12,2,3,5,6,8,9,2,12,2,Winners_Bracket
9.0,ZBW,43,1,5,10,1,6,2,17,0,3,2,4,4,Winners_Bracket
10.0,CG,42,3,7,4,3,18,0,11,4,20,0,3,8,Winners_Bracket
11.0,SPPI,39,14,0,5,8,17,3,3,10,7,2,14,0,Winners_Bracket
12.0,HKE,28,18,0,7,6,1,6,19,0,17,0,13,0,Winners_Bracket
13.0,NIBL,27,2,5,19,0,14,1,16,0,4,1,7,2,Winners_Bracket
14.0,P4C,21,4,6,16,0,20,0,7,0,11,5,17,1,Winners_Bracket
15.0,YK,17,17,6,14,2,5,1,20,0,18,0,16,3,Winners_Bracket
16.0,BGTTS,14,13,0,9,1,11,4,14,0,10,1,15,0,Winners_Bracket
17.0,SNK,13,20,0,20,0,15,1,5,2,16,0,8,3,Winners_Bracket
18.0,POLSKA,11,9,0,8,0,9,2,8,0,15,0,20,0,Winners_Bracket
19.0,UTFT,9,16,0,13,0,10,0,9,2,12,0,11,0,Winners_Bracket
20.0,1872,8,19,2,17,1,16,2,15,0,19,2,19,0,Winners_Bracket
