,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 08, 2022 - 16:00 BSTStorm Point ZETA DIVISION Odin Gamers Horizon Union","Round 1 Round 1 May 08, 2022 - 16:00 BSTStorm Point ZETA DIVISION Odin Gamers Horizon Union","Round 2 Round 2 May 08, 2022 - 16:35 BSTStorm Point Totem Esports Phoenix Legacy Kungarna","Round 2 Round 2 May 08, 2022 - 16:35 BSTStorm Point Totem Esports Phoenix Legacy Kungarna","Round 3 Round 3 May 08, 2022 - 17:10 BSTStorm Point Forg Gang Guild Esports SCARZ","Round 3 Round 3 May 08, 2022 - 17:10 BSTStorm Point Forg Gang Guild Esports SCARZ","Round 4 Round 4 May 08, 2022 - 17:45 BSTWorld's Edge ZETA DIVISION SCARZ Phoenix Legacy","Round 4 Round 4 May 08, 2022 - 17:45 BSTWorld's Edge ZETA DIVISION SCARZ Phoenix Legacy","Round 5 Round 5 May 08, 2022 - 18:20 BSTWorld's Edge K1CK Horizon Union Vexed Gaming","Round 5 Round 5 May 08, 2022 - 18:20 BSTWorld's Edge K1CK Horizon Union Vexed Gaming","Round 6 Round 6 May 08, 2022 - 18:55 BSTWorld's Edge SCARZ Horizon Union Forg Gang","Round 6 Round 6 May 08, 2022 - 18:55 BSTWorld's Edge SCARZ Horizon Union Forg Gang"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SZ,70,6,5,15,0,3,9,2,7,12,0,1,9
1,2.0,ZETA,65,1,10,9,5,18,0,1,10,11,1,5,5
2,3.0,K1CK,59,5,0,7,1,14,0,6,5,1,15,4,1
3,4.0,HRZN,58,3,4,4,3,9,1,17,4,2,3,2,11
4,5.0,TTM,52,13,0,1,11,8,5,19,0,6,6,9,2
5,6.0,FORG,47,16,1,8,3,1,15,15,0,18,2,3,3
6,7.0,PXL,46,15,0,2,8,15,0,3,8,10,3,17,3
7,8.0,GUILD,43,9,5,19,0,2,2,10,0,4,6,6,9
8,9.0,UND,38,12,9,11,3,10,4,13,3,17,3,12,10
9,10.0,KNG,37,4,2,3,7,5,4,9,3,16,0,13,2
10,11.0,VXD,35,7,4,10,6,16,0,7,3,3,4,7,0
11,12.0,RBL,30,19,0,5,5,12,0,11,5,19,0,10,2
12,13.0,OG,28,2,6,6,1,13,0,5,0,9,2,19,0
13,14.0,SQG,27,18,1,12,1,4,6,14,1,7,2,18,0
14,15.0,NAVI,26,8,6,17,0,6,3,4,2,15,2,15,1
15,16.0,MUT,21,17,1,14,5,17,3,8,2,14,2,11,1
16,17.0,HS,21,11,0,13,0,11,6,18,2,13,2,8,0
17,18.0,TREX,11,10,1,18,0,7,0,16,1,5,0,16,0
18,19.0,789,7,20,0,16,0,20,0,12,0,8,4,20,0
19,20.0,SNK,2,14,0,20,0,19,0,20,0,20,0,14,0
