Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,69IQ,67,17,3,15,0,15,2,1,7,1,9,1,8,Lobby 1
2.0,GIGI,63,5,11,9,1,1,18,4,5,13,1,12,2,Lobby 1
3.0,AUS,60,15,0,2,12,13,4,16,6,12,6,2,11,Lobby 1
4.0,ETH,54,3,3,7,2,3,6,3,5,2,4,16,1,Lobby 1
5.0,NMS,52,12,1,4,6,6,9,9,7,5,3,6,8,Lobby 1
6.0,OG,46,10,0,3,5,2,5,10,2,7,5,7,3,Lobby 1
7.0,RD,44,14,3,12,5,9,5,2,5,8,8,10,1,Lobby 1
8.0,BCG,37,19,1,5,7,14,1,15,2,4,6,4,4,Lobby 1
9.0,DI,37,1,10,11,1,20,0,6,3,16,3,13,3,Lobby 1
10.0,BGR,36,11,0,1,6,4,3,8,0,9,0,8,3,Lobby 1
11.0,K1CK,35,2,6,14,0,5,5,7,5,10,0,19,0,Lobby 1
12.0,TD,28,16,0,13,2,12,1,14,0,3,5,3,3,Lobby 1
13.0,signelunaire,22,6,2,6,5,19,0,18,0,11,2,9,4,Lobby 1
14.0,SCBS,22,4,6,16,0,16,0,5,2,6,2,17,0,Lobby 1
15.0,SMS,20,7,2,10,3,10,0,19,3,14,3,14,0,Lobby 1
16.0,CLN,18,13,6,8,1,11,2,17,2,17,0,18,3,Lobby 1
17.0,AAS,16,8,3,17,0,18,0,13,3,18,0,5,3,Lobby 1
18.0,TRIHARD,10,20,0,20,0,7,0,11,1,15,3,11,0,Lobby 1
19.0,CHI,6,9,1,18,0,8,1,20,0,19,0,20,0,Lobby 1
20.0,FV,3,18,0,19,0,17,0,12,1,20,0,15,0,Lobby 1
