StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BearClaw Gaming GIGI RNGBless"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,BCG,80,112,1313,54,1010,112,99,112
2.0,GIGI,62,180,11,160,0,45,2525,29
3.0,SMS,56,54,66,29,1414,29,99,121
4.0,AAS,36,121,33,112,77,37,0,63
5.0,bykva U,23,45,77,82,66,180,0,102
6.0,WhyUs,22,37,55,63,22,160,0,82
7.0,AP,22,29,44,73,11,151,11,92
8.0,Wisps,20,102,44,102,33,92,33,54
9.0,NoWayFzB,18,63,0,45,22,82,22,131
10.0,RNGBless,18,92,44,170,0,102,11,37
11.0,Excellent Era,18,73,0,37,11,73,0,73
12.0,MOB INT,15,151,11,111,22,141,0,45
13.0,Exalty,14,82,1010,131,0,190,0,151
14.0,LegitGoats,12,131,0,141,66,63,11,190
15.0,SeXy Chonks,12,170,0,92,11,54,33,141
16.0,HEROES ESPORT,4,200,0,190,0,121,33,160
17.0,Royal Mooses,4,190,0,200,0,131,0,111
18.0,MantaX,3,160,0,121,0,170,11,170
19.0,7Hologram,3,111,0,151,0,111,0,180
20.0,Reapers of death,1,141,0,180,0,200,0,200
