StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge T-Rex TURKs dead inside"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,DI,64,111,66,37,1111,29,1010,37
2.0,69IQ,50,112,1717,131,44,73,77,82
3.0,uwuowoboys,42,63,0,112,99,45,55,45
4.0,TREX,40,190,0,73,66,37,55,112
5.0,ATK,33,82,22,29,99,54,44,131
6.0,TURKs,30,45,77,151,22,151,33,29
7.0,NoWay XBox,30,102,0,102,0,112,88,73
8.0,Aspirateur,29,29,99,170,0,92,22,102
9.0,NurzethexStyleS,18,37,99,180,11,160,0,151
10.0,Lunar,18,54,33,92,0,121,0,54
11.0,Tweetlonger,17,121,11,111,55,111,22,63
12.0,HNY,14,92,0,45,22,63,11,111
13.0,Illuminary FTW,13,73,22,54,0,131,0,92
14.0,HLDC,9,160,22,82,0,102,33,160
15.0,Peak Performerz,6,170,0,141,22,82,11,170
16.0,LPm,6,131,0,121,0,141,0,121
17.0,Carnage,6,151,0,63,11,170,0,141
18.0,TRIADA,1,141,0,200,0,200,0,200
19.0,BlueCheeseGaming,0,180,0,160,0,200,0,200
20.0,TRS Clan,0,200,0,200,0,200,0,200
