StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge Bacalhau Space Pigeons Undertaker"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,Undertaker,62,29,1313,112,77,82,66,37
2.0,CLN,52,63,99,92,1111,45,66,63
3.0,3 Jabronies,37,37,33,63,22,112,88,131
4.0,NMS,34,112,66,102,44,111,55,111
5.0,Monkey Milkers,27,102,0,37,55,92,66,73
6.0,Bacalhau,27,111,0,131,0,54,33,112
7.0,SPPI,26,141,0,160,0,29,33,29
8.0,HKE,23,45,44,170,11,131,0,54
9.0,OG,19,151,22,111,0,102,66,45
10.0,MZY,19,180,0,29,66,141,11,82
11.0,Kryptic,18,73,44,45,11,73,11,151
12.0,Vanaheim Gaming,17,131,0,82,44,37,33,160
13.0,1515,16,121,11,54,55,151,0,92
14.0,Excellents,13,170,0,151,66,121,11,141
15.0,BFG,13,54,11,141,11,63,11,102
16.0,60fps,11,92,77,121,0,160,0,121
17.0,BWG,5,82,0,73,0,170,0,180
18.0,3 Uomini 1 Gamba,0,200,0,200,0,200,0,200
19.0,Aesir,0,160,0,180,0,180,0,170
20.0,DoubleuandL,0,200,0,200,0,200,0,200
