Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,ETH,62,7,3,13,1,1,7,2,6,4,4,2,2,Lobby 1
2.0,TD,55,2,8,11,3,11,1,6,5,5,9,5,7,Lobby 1
3.0,AAS,55,4,6,7,4,2,13,5,4,13,2,11,3,Lobby 1
4.0,SMS,53,1,12,3,4,5,4,12,1,18,3,15,4,Lobby 1
5.0,GIGI,52,9,0,1,6,20,0,1,14,10,4,19,0,Lobby 1
6.0,FV,49,8,6,8,4,4,5,9,0,14,2,1,8,Lobby 1
7.0,BGR,44,12,5,9,3,13,2,10,0,1,8,10,6,Lobby 1
8.0,TRIHARD,37,17,3,12,2,12,0,3,5,3,7,9,2,Lobby 1
9.0,AUS,32,16,0,5,6,10,3,14,3,8,1,4,5,Lobby 1
10.0,BCG,31,10,0,4,9,15,1,17,0,7,3,14,6,Lobby 1
11.0,LGN,31,11,3,6,2,6,0,7,2,6,2,6,6,Lobby 1
12.0,6bnt,28,6,5,17,3,8,2,4,3,12,1,8,1,Lobby 1
13.0,DM,28,19,0,2,7,19,0,8,5,9,3,18,0,Lobby 1
14.0,PXL,26,15,0,19,2,18,5,20,0,2,5,7,1,Lobby 1
15.0,LegionF,18,18,0,20,0,17,3,19,0,17,0,3,8,Lobby 1
16.0,SPIRAL,15,5,2,18,0,9,3,13,0,11,1,13,0,Lobby 1
17.0,UTFT,13,14,0,16,0,3,2,15,0,15,0,12,0,Lobby 1
18.0,Mat For Victory,12,3,2,15,0,16,1,18,0,19,0,17,1,Lobby 1
19.0,MP,11,13,1,10,1,14,3,16,1,16,0,16,1,Lobby 1
20.0,Hope Die Last,10,20,0,14,1,7,2,11,2,20,0,20,0,Lobby 1
1.0,69IQ,81,1,8,1,9,2,13,12,1,2,4,12,2,Lobby 2
2.0,DI,74,3,2,5,4,3,3,1,9,7,6,2,8,Lobby 2
3.0,K1CK,69,5,4,4,5,6,4,3,10,13,2,1,12,Lobby 2
4.0,CHI,60,2,13,2,4,13,4,4,4,18,3,4,3,Lobby 2
5.0,CLN,56,9,8,3,13,12,3,9,0,10,5,3,6,Lobby 2
6.0,RD,42,14,2,17,2,7,0,11,6,1,11,10,2,Lobby 2
7.0,SCBS,38,10,3,6,5,1,4,10,3,17,0,6,1,Lobby 2
8.0,OG,31,4,9,14,3,9,5,15,0,5,1,17,0,Lobby 2
9.0,signelunaire,29,12,0,8,1,14,4,2,5,9,1,7,0,Lobby 2
10.0,NMS,28,11,2,9,1,15,2,5,7,4,2,13,0,Lobby 2
11.0,HKE,23,8,3,7,1,4,6,18,0,8,0,15,0,Lobby 2
12.0,Aspirateur,22,18,2,15,2,10,3,16,0,6,5,14,3,Lobby 2
13.0,uwuowoboys,21,16,0,16,3,17,1,7,1,11,1,5,7,Lobby 2
14.0,Undertaker,21,6,0,13,0,16,1,8,0,12,5,9,6,Lobby 2
15.0,TURKs,16,13,1,18,0,5,3,14,3,15,1,11,0,Lobby 2
16.0,NIBL,16,15,0,12,0,19,0,19,0,3,4,16,3,Lobby 2
17.0,NurzethexStyleS,15,7,0,11,0,11,3,6,2,19,0,8,0,Lobby 2
18.0,ATK,11,20,0,10,1,8,3,17,3,16,0,18,0,Lobby 2
19.0,Team Volpid,8,19,0,19,4,20,0,13,3,20,0,20,0,Lobby 2
20.0,Bacalhau,7,17,0,20,0,18,0,20,0,14,3,19,3,Lobby 2
