,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 14:00 BSTWorld's Edge 69iQ eSports Chichivica dead inside","Round 1 Round 1 September 12, 2021 - 14:00 BSTWorld's Edge 69iQ eSports Chichivica dead inside","Round 2 Round 2 September 12, 2021 - 14:35 BSTWorld's Edge 69iQ eSports Chichivica Clean","Round 2 Round 2 September 12, 2021 - 14:35 BSTWorld's Edge 69iQ eSports Chichivica Clean","Round 3 Round 3 September 12, 2021 - 15:10 BSTWorld's Edge SUCCUBUS 69iQ eSports dead inside","Round 3 Round 3 September 12, 2021 - 15:10 BSTWorld's Edge SUCCUBUS 69iQ eSports dead inside","Round 4 Round 4 September 12, 2021 - 15:45 BSTWorld's Edge dead inside signelunaire K1CK","Round 4 Round 4 September 12, 2021 - 15:45 BSTWorld's Edge dead inside signelunaire K1CK","Round 5 Round 5 September 12, 2021 - 16:20 BSTWorld's Edge Redragon 69iQ eSports NIBBLE Esports","Round 5 Round 5 September 12, 2021 - 16:20 BSTWorld's Edge Redragon 69iQ eSports NIBBLE Esports","Round 6 Round 6 September 12, 2021 - 16:55 BSTWorld's Edge K1CK dead inside Clean","Round 6 Round 6 September 12, 2021 - 16:55 BSTWorld's Edge K1CK dead inside Clean"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,69IQ,81,1,8,1,9,2,13,12,1,2,4,12,2
1,2.0,DI,74,3,2,5,4,3,3,1,9,7,6,2,8
2,3.0,K1CK,69,5,4,4,5,6,4,3,10,13,2,1,12
3,4.0,CHI,60,2,13,2,4,13,4,4,4,18,3,4,3
4,5.0,CLN,56,9,8,3,13,12,3,9,0,10,5,3,6
5,6.0,RD,42,14,2,17,2,7,0,11,6,1,11,10,2
6,7.0,SCBS,38,10,3,6,5,1,4,10,3,17,0,6,1
7,8.0,OG,31,4,9,14,3,9,5,15,0,5,1,17,0
8,9.0,signelunaire,29,12,0,8,1,14,4,2,5,9,1,7,0
9,10.0,NMS,28,11,2,9,1,15,2,5,7,4,2,13,0
10,11.0,HKE,23,8,3,7,1,4,6,18,0,8,0,15,0
11,12.0,Aspirateur,22,18,2,15,2,10,3,16,0,6,5,14,3
12,13.0,uwuowoboys,21,16,0,16,3,17,1,7,1,11,1,5,7
13,14.0,Undertaker,21,6,0,13,0,16,1,8,0,12,5,9,6
14,15.0,TURKs,16,13,1,18,0,5,3,14,3,15,1,11,0
15,16.0,NIBL,16,15,0,12,0,19,0,19,0,3,4,16,3
16,17.0,NurzethexStyleS,15,7,0,11,0,11,3,6,2,19,0,8,0
17,18.0,ATK,11,20,0,10,1,8,3,17,3,16,0,18,0
18,19.0,Team Volpid,8,19,0,19,4,20,0,13,3,20,0,20,0
19,20.0,Bacalhau,7,17,0,20,0,18,0,20,0,14,3,19,3
