Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,MP,56,5,2,11,3,1,11,1,11,Lobby 1,Quarterfinals,,,,
2.0,AUS,50,1,9,3,6,3,5,11,3,Lobby 1,Quarterfinals,,,,
3.0,GIGI,38,15,7,18,3,10,0,2,16,Lobby 1,Quarterfinals,,,,
4.0,SMS,34,2,17,13,4,16,3,20,0,Lobby 1,Quarterfinals,,,,
5.0,Hope Die Last,33,17,0,5,6,2,8,4,1,Lobby 1,Quarterfinals,,,,
6.0,AAS,32,8,4,2,9,11,1,5,2,Lobby 1,Quarterfinals,,,,
7.0,BCG,29,7,1,4,2,4,4,7,6,Lobby 1,Quarterfinals,,,,
8.0,SPIRAL,28,11,1,1,8,6,3,18,0,Lobby 1,Quarterfinals,,,,
9.0,FV,19,12,2,7,11,15,0,13,0,Lobby 1,Quarterfinals,,,,
10.0,UTFT,19,3,4,19,2,14,5,16,0,Lobby 1,Quarterfinals,,,,
11.0,Uchinix,17,10,0,14,0,7,1,3,3,Lobby 1,Quarterfinals,,,,
12.0,AP,15,6,3,12,1,13,2,10,2,Lobby 1,Quarterfinals,,,,
13.0,Wisps,15,14,4,10,1,12,0,6,3,Lobby 1,Quarterfinals,,,,
14.0,ORCL,14,9,3,9,0,5,2,19,1,Lobby 1,Quarterfinals,,,,
15.0,NoFear,13,13,0,8,0,9,6,9,0,Lobby 1,Quarterfinals,,,,
16.0,WhyUs,12,19,0,6,4,17,1,12,3,Lobby 1,Quarterfinals,,,,
17.0,RNGBless,10,4,0,15,0,18,0,8,2,Lobby 1,Quarterfinals,,,,
18.0,bykva U,9,18,0,16,1,8,4,15,1,Lobby 1,Quarterfinals,,,,
19.0,Proxima,5,20,0,20,0,20,1,14,3,Lobby 1,Quarterfinals,,,,
20.0,Excellent Era,2,16,1,17,1,19,0,17,0,Lobby 1,Quarterfinals,,,,
1.0,TD,47,5,3,11,1,2,4,1,13,Lobby 2,Quarterfinals,,,,
2.0,DM,44,11,5,12,0,1,17,9,6,Lobby 2,Quarterfinals,,,,
3.0,PXL,40,1,17,7,2,15,3,14,1,Lobby 2,Quarterfinals,,,,
4.0,Mat For Victory,32,14,2,3,6,10,0,3,7,Lobby 2,Quarterfinals,,,,
5.0,6bnt,29,16,2,5,7,7,1,2,3,Lobby 2,Quarterfinals,,,,
6.0,LegionF,25,9,3,2,6,17,0,10,3,Lobby 2,Quarterfinals,,,,
7.0,TRIHARD,25,13,0,1,9,11,2,17,0,Lobby 2,Quarterfinals,,,,
8.0,LGN,24,18,1,8,8,4,8,18,0,Lobby 2,Quarterfinals,,,,
9.0,BGR,23,10,0,17,1,5,8,4,3,Lobby 2,Quarterfinals,,,,
10.0,ETH,22,3,6,16,1,9,0,5,2,Lobby 2,Quarterfinals,,,,
11.0,Pepegi,21,2,3,4,3,19,0,15,0,Lobby 2,Quarterfinals,,,,
12.0,Weebs Out,19,4,8,19,0,14,0,11,4,Lobby 2,Quarterfinals,,,,
13.0,KOMANDA A,18,15,0,14,0,3,5,6,1,Lobby 2,Quarterfinals,,,,
14.0,NotoriousFamily,17,6,3,10,3,18,0,7,3,Lobby 2,Quarterfinals,,,,
15.0,3turrets1brain,15,12,0,6,4,8,4,13,0,Lobby 2,Quarterfinals,,,,
16.0,GVG,10,8,2,15,0,12,0,12,3,Lobby 2,Quarterfinals,,,,
17.0,WLS,6,7,0,18,0,16,1,16,2,Lobby 2,Quarterfinals,,,,
18.0,Reakless,6,17,0,9,1,6,0,20,0,Lobby 2,Quarterfinals,,,,
19.0,PauseChamps,4,19,0,13,0,13,0,8,0,Lobby 2,Quarterfinals,,,,
20.0,edit,0,20,0,20,0,20,0,20,0,Lobby 2,Quarterfinals,,,,
1.0,69IQ,76,1,10,1,12,1,5,3,6,Lobby 3,Quarterfinals,,,,
2.0,K1CK,51,9,8,11,5,2,12,2,5,Lobby 3,Quarterfinals,,,,
3.0,Aspirateur,41,14,1,6,4,6,6,1,11,Lobby 3,Quarterfinals,,,,
4.0,SCBS,33,5,8,13,0,15,5,4,9,Lobby 3,Quarterfinals,,,,
5.0,DI,29,3,4,17,0,14,6,6,8,Lobby 3,Quarterfinals,,,,
6.0,ATK,29,4,2,3,9,20,0,7,3,Lobby 3,Quarterfinals,,,,
7.0,NurzethexStyleS,22,2,9,9,0,9,0,20,0,Lobby 3,Quarterfinals,,,,
8.0,CHI,21,8,0,2,7,18,1,15,1,Lobby 3,Quarterfinals,,,,
9.0,TURKs,19,7,0,15,2,7,3,11,6,Lobby 3,Quarterfinals,,,,
10.0,uwuowoboys,15,6,4,18,0,16,0,5,4,Lobby 3,Quarterfinals,,,,
11.0,Lunar,15,10,2,7,0,11,3,10,2,Lobby 3,Quarterfinals,,,,
12.0,NoWay XBox,15,13,3,10,1,5,2,8,0,Lobby 3,Quarterfinals,,,,
13.0,TREX,15,18,0,5,4,4,1,12,0,Lobby 3,Quarterfinals,,,,
14.0,Plombralicious,13,12,2,19,0,10,7,13,0,Lobby 3,Quarterfinals,,,,
15.0,PRSTS,12,11,0,4,5,12,0,18,0,Lobby 3,Quarterfinals,,,,
16.0,KIMADAZ,11,16,1,20,0,3,3,17,0,Lobby 3,Quarterfinals,,,,
17.0,RAT,9,15,0,16,0,8,3,9,1,Lobby 3,Quarterfinals,,,,
