,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 BSTWorld's Edge Australis MZY imissyou","Round 1 Round 1 September 25, 2021 - 12:00 BSTWorld's Edge Australis MZY imissyou","Round 2 Round 2 September 25, 2021 - 12:35 BSTWorld's Edge 6 banok na troih Hope Die Last Australis","Round 2 Round 2 September 25, 2021 - 12:35 BSTWorld's Edge 6 banok na troih Hope Die Last Australis","Round 3 Round 3 September 25, 2021 - 13:10 BSTWorld's Edge PunX Interactive Gaming Wait For Top 6 6 banok na troih","Round 3 Round 3 September 25, 2021 - 13:10 BSTWorld's Edge PunX Interactive Gaming Wait For Top 6 6 banok na troih","Round 4 Round 4 September 25, 2021 - 13:45 BSTWorld's Edge 6 banok na troih Wait For Top 6 Duck Goes Quack","Round 4 Round 4 September 25, 2021 - 13:45 BSTWorld's Edge 6 banok na troih Wait For Top 6 Duck Goes Quack"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,6bnt,78,151,22,112,1616,37,1515,112,1313
1,2.0,AUS,61,112,1616,37,1515,160,0,73,88
2,3.0,PunX,35,111,11,45,44,112,1111,111,0
3,4.0,imissyou,31,37,33,73,55,170,0,63,1010
4,5.0,Wait For Top 6,26,170,0,63,33,29,22,29,0
5,6.0,SPL,25,54,33,141,0,63,1010,141,33
6,7.0,Minor Keepers,25,141,99,92,0,121,22,45,55
7,8.0,Hope Die Last,25,45,22,29,88,131,0,180,0
8,9.0,Duck Goes Quack,23,131,33,54,22,82,22,37,22
9,10.0,MZY,23,29,44,102,0,141,22,92,33
10,11.0,Kurushimu,21,121,44,131,11,54,33,102,55
11,12.0,Monkey Milkers,18,73,22,121,0,45,33,54,0
12,13.0,Ghoul-punk,15,63,33,82,0,102,11,121,33
13,14.0,WARM Esport,13,82,55,170,0,73,22,151,0
14,15.0,CarryRubick fans,8,92,0,111,33,92,0,160,0
15,16.0,Triangle Mafia,7,102,11,151,0,190,0,82,11
16,17.0,Talhantes,3,180,0,160,0,111,22,190,0
17,18.0,IX LEGION,2,190,0,180,0,151,0,131,0
18,19.0,Stigma Crew,0,160,0,190,0,180,0,170,0
