Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,PRSTS,61,7,3,2,5,1,13,5,12,Lobby 10,Round_1,,,,
2.0,AAS,60,6,5,7,8,4,6,1,18,Lobby 10,Round_1,,,,
3.0,FV,53,1,12,4,4,2,8,15,2,Lobby 10,Round_1,,,,
4.0,kawaii,51,5,4,1,10,3,6,11,7,Lobby 10,Round_1,,,,
5.0,Fight Club,37,2,15,6,2,6,0,4,0,Lobby 10,Round_1,,,,
6.0,3 Jabronies,30,4,5,3,8,18,0,6,2,Lobby 10,Round_1,,,,
7.0,Crying our best,22,14,0,9,0,7,4,2,3,Lobby 10,Round_1,,,,
8.0,VYBN,19,12,2,10,4,14,2,10,5,Lobby 10,Round_1,,,,
9.0,ThatsaYouProblem,18,3,3,11,3,12,1,8,0,Lobby 10,Round_1,,,,
10.0,NyanPasu,12,10,0,8,4,13,0,9,1,Lobby 10,Round_1,,,,
11.0,ConsoleGamers,12,15,0,5,0,8,4,14,0,Lobby 10,Round_1,,,,
12.0,SynController,11,9,0,16,0,10,0,3,0,Lobby 10,Round_1,,,,
13.0,MyTeam,10,18,0,13,3,11,2,7,0,Lobby 10,Round_1,,,,
14.0,FRUTOZAVR,8,16,0,18,0,15,3,13,3,Lobby 10,Round_1,,,,
15.0,LFT P4,7,11,0,14,1,9,2,16,0,Lobby 10,Round_1,,,,
16.0,Ryze Empire EU,5,17,0,12,0,5,0,18,0,Lobby 10,Round_1,,,,
17.0,Deine Freunde,3,8,0,15,0,17,0,17,0,Lobby 10,Round_1,,,,
18.0,Tankiii,2,13,0,17,0,16,0,12,0,Lobby 10,Round_1,,,,
1.0,Weebs Out,68,14,0,1,23,1,15,16,5,Lobby 11,Round_1,,,,
2.0,DI,55,2,9,10,6,6,8,1,6,Lobby 11,Round_1,,,,
3.0,Moanerz EU,48,4,4,7,2,3,8,3,12,Lobby 11,Round_1,,,,
4.0,NIBL,40,1,11,13,0,16,4,4,7,Lobby 11,Round_1,,,,
5.0,Phoenix,39,7,8,5,6,5,6,7,5,Lobby 11,Round_1,,,,
6.0,Falcons,26,6,3,8,0,2,8,15,0,Lobby 11,Round_1,,,,
7.0,Sxercise,23,16,0,4,3,12,0,2,5,Lobby 11,Round_1,,,,
8.0,PolyGuys,22,5,4,11,0,4,1,6,4,Lobby 11,Round_1,,,,
9.0,Wattson Simps,22,3,7,15,0,7,2,10,0,Lobby 11,Round_1,,,,
10.0,Convergent,16,18,0,2,4,10,0,14,0,Lobby 11,Round_1,,,,
11.0,789Academy,15,10,1,14,1,8,1,5,3,Lobby 11,Round_1,,,,
12.0,PepeReady,12,8,0,3,2,11,0,17,0,Lobby 11,Round_1,,,,
13.0,MF,11,15,0,12,4,9,2,13,0,Lobby 11,Round_1,,,,
14.0,ANTG,11,11,3,9,2,14,0,9,0,Lobby 11,Round_1,,,,
15.0,5Second,5,20,0,20,0,15,0,8,2,Lobby 11,Round_1,,,,
16.0,Nevermind Tromsø,5,12,0,6,0,17,0,11,0,Lobby 11,Round_1,,,,
17.0,LPm,2,9,0,18,0,18,0,18,0,Lobby 11,Round_1,,,,
18.0,OXR,2,17,0,16,0,13,0,12,0,Lobby 11,Round_1,,,,
1.0,BGR,77,3,9,1,14,1,11,4,7,Lobby 12,Round_1,,,,
2.0,RAT,58,1,13,3,13,11,1,5,7,Lobby 12,Round_1,,,,
3.0,SYND,54,14,0,2,8,4,12,1,7,Lobby 12,Round_1,,,,
4.0,fifth grader,39,2,8,14,0,6,3,2,6,Lobby 12,Round_1,,,,
5.0,iEnvy,36,7,2,4,6,3,7,8,4,Lobby 12,Round_1,,,,
6.0,Undertaker,25,18,0,19,0,7,5,3,10,Lobby 12,Round_1,,,,
7.0,Bontoutou_ESPORT,25,11,4,5,1,2,5,11,0,Lobby 12,Round_1,,,,
8.0,TURKs,14,13,3,6,0,13,0,7,3,Lobby 12,Round_1,,,,
9.0,qoud vera Genus,13,10,4,13,0,12,0,6,2,Lobby 12,Round_1,,,,
10.0,3apushili umerli,13,12,0,7,0,5,2,13,2,Lobby 12,Round_1,,,,
11.0,Last Light,11,8,3,9,0,9,1,15,0,Lobby 12,Round_1,,,,
12.0,Dababy,8,6,3,20,0,16,0,16,2,Lobby 12,Round_1,,,,
13.0,RatPasTaGame,8,15,0,10,1,8,0,10,0,Lobby 12,Round_1,,,,
14.0,Stick-warriors,7,9,0,16,0,10,0,12,2,Lobby 12,Round_1,,,,
15.0,FRLS,7,5,0,11,0,17,0,9,0,Lobby 12,Round_1,,,,
16.0,Kids With Candy,6,17,0,8,2,14,0,14,0,Lobby 12,Round_1,,,,
17.0,1YEP6,2,16,0,12,0,15,0,17,0,Lobby 12,Round_1,,,,
18.0,ClanKitsune,0,20,0,18,0,18,0,20,0,Lobby 12,Round_1,,,,
1.0,BOOBA,69,3,4,1,20,9,8,2,7,Lobby 13,Round_1,,,,
2.0,SHEESH,62,1,10,3,4,3,15,10,5,Lobby 13,Round_1,,,,
3.0,Aspirateur,49,4,6,4,4,1,10,12,6,Lobby 13,Round_1,,,,
4.0,XDA,39,2,7,10,6,14,3,6,8,Lobby 13,Round_1,,,,
5.0,ETH,38,6,6,12,1,12,2,1,12,Lobby 13,Round_1,,,,
6.0,Mat For Victory,25,5,0,6,3,10,1,3,5,Lobby 13,Round_1,,,,
7.0,Senbonzakura,21,13,4,11,0,6,5,5,3,Lobby 13,Round_1,,,,
8.0,CHOC,17,11,1,7,2,4,1,7,1,Lobby 13,Round_1,,,,
9.0,Nuclear Apes,17,14,0,2,3,15,0,13,2,Lobby 13,Round_1,,,,
10.0,Over The Top Sgv,17,10,0,14,0,2,3,9,0,Lobby 13,Round_1,,,,
11.0,Class 1A,15,16,0,5,6,17,1,8,2,Lobby 13,Round_1,,,,
12.0,Il malae,12,7,3,8,0,7,0,14,0,Lobby 13,Round_1,,,,
13.0,LowCostSquad,9,9,2,17,0,5,1,18,0,Lobby 13,Round_1,,,,
14.0,PS_Esport,8,15,2,18,0,13,3,11,0,Lobby 13,Round_1,,,,
15.0,Kiberkotleti,8,18,0,9,0,16,0,4,1,Lobby 13,Round_1,,,,
16.0,DidzGhiott,5,12,1,13,0,8,0,17,0,Lobby 13,Round_1,,,,
17.0,ENDSARZZ,4,8,0,15,0,11,0,16,0,Lobby 13,Round_1,,,,
18.0,ERZWODEZWO,1,17,0,16,0,18,0,15,0,Lobby 13,Round_1,,,,
