Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,RD,66,5,10,3,13,9,2,1,16
2.0,Duck Goes Quack,45,1,11,1,5,10,0,6,0
3.0,Dababy,40,11,2,5,1,1,13,7,4
4.0,PRSTS,40,2,5,2,11,12,0,8,3
5.0,BCG,39,3,7,8,3,7,5,4,7
6.0,Carnage,29,4,1,13,0,2,3,2,1
7.0,JIGSAW,21,9,0,9,1,3,5,5,0
8.0,2ege1college,20,8,0,6,3,4,5,11,1
9.0,FP,15,10,0,12,0,6,0,3,2
10.0,HEROES ESPORT,12,6,1,10,0,5,1,13,0
11.0,4Elbl,10,13,0,4,0,8,0,10,0
12.0,VYBN,9,7,0,7,1,11,0,12,0
13.0,Nevermind Tromsø,5,12,0,14,0,13,0,9,0
14.0,EBoys,2,14,0,11,0,20,0,20,0
15.0,AimAssistRed,0,20,0,20,0,20,0,20,0
