,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 12:00 BSTWorld's Edge AllPlanned Weebs Out Hallediciler","Round 1 Round 1 October 2, 2021 - 12:00 BSTWorld's Edge AllPlanned Weebs Out Hallediciler","Round 2 Round 2 October 2, 2021 - 12:35 BSTWorld's Edge DungeonMast33rs Happy New Year AllPlanned","Round 2 Round 2 October 2, 2021 - 12:35 BSTWorld's Edge DungeonMast33rs Happy New Year AllPlanned","Round 3 Round 3 October 2, 2021 - 13:10 BSTWorld's Edge AllPlanned Nobody Happy New Year","Round 3 Round 3 October 2, 2021 - 13:10 BSTWorld's Edge AllPlanned Nobody Happy New Year","Round 4 Round 4 October 2, 2021 - 13:45 BSTWorld's Edge Reakless Nobody Weebs Out","Round 4 Round 4 October 2, 2021 - 13:45 BSTWorld's Edge Reakless Nobody Weebs Out"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,AP,56,112,44,37,22,112,1212,73,44
1,2.0,DM,44,45,55,112,1010,63,88,111,0
2,3.0,Weebs Out,43,29,1010,111,0,111,22,37,1313
3,4.0,HLDC,33,37,88,45,66,92,33,131,11
4,5.0,Nobody,28,82,0,92,11,29,33,29,22
5,6.0,Reakless,27,111,0,63,66,82,0,112,33
6,7.0,HNY,27,73,0,29,44,37,11,82,11
7,8.0,SVR,22,121,33,102,11,45,66,54,0
8,9.0,DSI,19,63,11,73,0,131,0,45,66
9,10.0,CRAZYx3,16,54,22,82,33,121,0,63,11
10,11.0,thr33 stack,15,102,22,131,0,54,22,121,33
11,12.0,Simplexy,13,131,0,54,33,73,11,141,0
12,13.0,Triangle Mafia,7,141,0,121,0,102,11,92,0
13,14.0,Dark Rangers,6,92,0,141,0,141,0,102,0
