Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,CLN,80,19,2,1,16,1,10,1,11,12,0,5,0
2.0,AP,73,6,7,4,4,2,13,5,4,5,1,2,10
3.0,DM,55,11,2,10,6,17,2,3,9,2,14,9,1
4.0,NMS,45,7,2,8,0,7,4,14,0,16,1,1,17
5.0,DI,41,12,1,2,2,6,5,12,0,4,12,19,2
6.0,RAT,39,4,3,13,9,9,1,4,11,14,0,11,0
7.0,TD,39,1,13,16,0,4,2,9,1,13,0,10,1
8.0,3 Jabronies,36,5,3,6,2,11,0,6,4,3,6,7,0
9.0,OG,35,20,1,12,4,5,1,13,1,1,6,8,2
10.0,USG,35,2,6,20,0,3,0,2,1,11,0,14,1
11.0,FV,32,9,0,5,5,14,1,16,0,7,4,3,5
12.0,NoFear,30,16,3,3,7,12,5,19,0,17,3,6,1
13.0,SMS,24,8,5,19,0,10,5,16,3,6,2,18,2
14.0,NXB,23,18,0,17,1,8,4,8,0,8,3,4,4
15.0,ETH,22,13,3,7,0,13,1,10,5,9,0,17,4
16.0,TREX,20,17,1,15,0,18,2,11,5,15,5,15,3
17.0,GOD,11,3,0,14,1,15,0,20,0,19,0,16,1
18.0,SAC,9,14,0,18,0,20,2,7,0,18,0,13,2
19.0,CRAZYx3,7,15,2,11,0,16,1,17,0,20,0,12,1
20.0,ILL,6,10,0,9,0,19,0,18,0,10,0,20,0
