Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,HKE,55,10,4,1,8,5,6,1,7,Lobby 1
2.0,CRAZYx3,51,1,13,8,3,7,2,3,9,Lobby 1
3.0,Kamisato,36,3,10,20,0,3,9,12,2,Lobby 1
4.0,plei,33,13,1,4,5,2,3,4,4,Lobby 1
5.0,NMS,30,8,0,5,11,4,8,18,0,Lobby 1
6.0,NXB,28,20,0,2,5,16,0,2,5,Lobby 1
7.0,CLN,24,16,0,14,0,1,10,11,0,Lobby 1
8.0,Sand Whales,22,5,2,18,2,6,3,14,7,Lobby 1
9.0,DM,22,2,1,16,0,13,3,13,7,Lobby 1
10.0,Young Squad,19,6,3,3,4,11,1,20,0,Lobby 1
11.0,HLDC,18,7,4,7,4,8,0,17,2,Lobby 1
12.0,EFG Team,17,11,5,11,4,12,0,7,2,Lobby 1
13.0,WICKED,14,15,0,10,1,10,2,6,3,Lobby 1
14.0,WLS,13,14,2,15,3,14,0,10,3,Lobby 1
15.0,PXL,13,9,2,17,0,9,5,9,0,Lobby 1
16.0,SYND,12,4,5,12,0,15,0,19,0,Lobby 1
17.0,PDPivas,11,12,2,6,2,20,0,8,1,Lobby 1
18.0,PRSTS,9,17,0,19,0,18,3,15,5,Lobby 1
19.0,1515,9,19,0,9,2,17,0,5,1,Lobby 1
20.0,MOB INT,4,18,0,13,2,19,1,16,0,Lobby 1
1.0,TREX,74,7,6,1,14,7,8,1,16,Lobby 2
2.0,AAS,60,1,18,9,1,4,12,10,8,Lobby 2
3.0,OG,46,2,0,10,12,5,4,2,6,Lobby 2
4.0,SAC,34,9,5,3,4,2,4,16,3,Lobby 2
5.0,FV,28,18,0,13,3,1,11,14,0,Lobby 2
6.0,FC,27,4,6,14,0,15,0,3,7,Lobby 2
7.0,6bnt,23,11,4,18,1,9,4,4,6,Lobby 2
8.0,AP,22,3,6,6,0,12,1,9,2,Lobby 2
9.0,SLAP,15,13,5,12,5,14,0,8,0,Lobby 2
10.0,BFG,15,16,3,15,0,8,2,7,4,Lobby 2
11.0,3turrets1brain,15,15,0,4,5,16,0,5,0,Lobby 2
12.0,weeboys,15,15,0,7,3,3,0,13,0,Lobby 2
13.0,LGN,12,12,0,5,5,18,1,17,1,Lobby 2
14.0,ZAB,12,10,2,8,2,11,2,15,0,Lobby 2
15.0,Sheriffs,12,6,0,2,0,19,0,19,0,Lobby 2
16.0,21cm,11,20,0,11,2,13,6,11,0,Lobby 2
17.0,Kissyourhomies,10,8,3,16,0,17,0,6,2,Lobby 2
18.0,Chiefs,10,5,0,19,0,6,2,12,0,Lobby 2
19.0,Ryze Empire EU,3,17,1,20,0,10,0,18,0,Lobby 2
20.0,DynamiX,0,19,0,17,0,20,0,20,0,Lobby 2
1.0,TD,67,8,3,5,5,3,19,1,15,Lobby 3
2.0,BCG,55,1,15,13,4,12,6,4,11,Lobby 3
3.0,RAT,46,11,3,1,21,10,3,11,3,Lobby 3
4.0,USG,43,2,10,4,6,4,5,13,2,Lobby 3
5.0,GOD,37,4,7,3,5,13,3,5,5,Lobby 3
6.0,Dababy,31,15,2,7,0,1,12,14,0,Lobby 3
7.0,Mat For Victory,28,18,4,19,0,2,0,2,6,Lobby 3
8.0,60fps,21,3,3,11,0,6,0,3,0,Lobby 3
9.0,Explosion,19,16,0,2,5,15,0,15,3,Lobby 3
10.0,SPPI,17,5,3,6,1,11,2,9,1,Lobby 3
11.0,Nuclear Apes,15,6,2,17,1,9,0,6,4,Lobby 3
12.0,TRIHARD,14,12,3,9,1,5,3,18,0,Lobby 3
13.0,BGR,9,20,0,8,2,20,0,10,3,Lobby 3
14.0,Justthreeplayers,9,17,0,20,0,8,4,7,0,Lobby 3
15.0,Weebs Out,9,13,1,15,2,7,1,16,0,Lobby 3
16.0,Južni Vetar Gas,9,10,3,10,0,16,0,8,0,Lobby 3
17.0,ANTG,7,7,1,16,2,14,0,20,0,Lobby 3
18.0,SHEESH,5,9,0,18,3,19,0,17,0,Lobby 3
19.0,DIVE,4,19,0,12,0,18,0,12,2,Lobby 3
20.0,CHOC,2,14,0,14,0,17,0,19,0,Lobby 3
1.0,SMS,62,2,8,13,3,1,16,4,8,Lobby 4
2.0,3 Jabronies,47,1,10,4,1,7,6,7,7,Lobby 4
3.0,ETH,41,9,0,2,5,4,2,1,6,Lobby 4
4.0,3FR,38,7,0,1,14,18,1,5,4,Lobby 4
5.0,NoFear,34,3,8,19,1,10,2,8,12,Lobby 4
6.0,DI,34,4,5,3,9,6,3,18,2,Lobby 4
7.0,UWU,28,15,0,12,7,3,12,19,0,Lobby 4
8.0,Moanerz EU,26,5,6,8,1,5,5,13,3,Lobby 4
9.0,ILL,25,13,3,5,2,16,2,3,6,Lobby 4
10.0,Lunar,17,19,0,14,0,12,0,2,6,Lobby 4
11.0,Undertaker,14,8,0,6,1,9,5,11,0,Lobby 4
12.0,Simply_E_Sports,14,16,0,16,0,2,3,10,0,Lobby 4
13.0,SCBS,13,11,4,17,0,8,2,12,3,Lobby 4
14.0,STUGOTS,9,6,2,20,0,11,0,6,0,Lobby 4
15.0,Boydem,8,17,0,10,4,14,0,16,1,Lobby 4
16.0,SCTA,8,10,0,9,3,17,0,15,0,Lobby 4
17.0,Arise eSport 2,7,20,0,11,3,15,0,9,0,Lobby 4
18.0,UTFT,7,14,2,15,0,13,1,14,0,Lobby 4
19.0,Arigato 4 pts,6,12,1,7,1,19,0,20,0,Lobby 4
20.0,Team KST,3,18,3,18,0,20,0,17,0,Lobby 4
