,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 10, 2021 - 12:00 BSTWorld's Edge CRAZYx3 DungeonMast33rs Kamisato","Round 1 Round 1 October 10, 2021 - 12:00 BSTWorld's Edge CRAZYx3 DungeonMast33rs Kamisato","Round 2 Round 2 October 10, 2021 - 12:30 BSTWorld's Edge Team Huskies Esports nxblesse Young Squad","Round 2 Round 2 October 10, 2021 - 12:30 BSTWorld's Edge Team Huskies Esports nxblesse Young Squad","Round 3 Round 3 October 10, 2021 - 13:00 BSTWorld's Edge Clean plei Kamisato","Round 3 Round 3 October 10, 2021 - 13:00 BSTWorld's Edge Clean plei Kamisato","Round 4 Round 4 October 10, 2021 - 13:30 BSTWorld's Edge Team Huskies Esports nxblesse CRAZYx3","Round 4 Round 4 October 10, 2021 - 13:30 BSTWorld's Edge Team Huskies Esports nxblesse CRAZYx3"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,HKE,55,10,4,1,8,5,6,1,7
1,2.0,CRAZYx3,51,1,13,8,3,7,2,3,9
2,3.0,Kamisato,36,3,10,20,0,3,9,12,2
3,4.0,plei,33,13,1,4,5,2,3,4,4
4,5.0,NMS,30,8,0,5,11,4,8,18,0
5,6.0,NXB,28,20,0,2,5,16,0,2,5
6,7.0,CLN,24,16,0,14,0,1,10,11,0
7,8.0,Sand Whales,22,5,2,18,2,6,3,14,7
8,9.0,DM,22,2,1,16,0,13,3,13,7
9,10.0,Young Squad,19,6,3,3,4,11,1,20,0
10,11.0,HLDC,18,7,4,7,4,8,0,17,2
11,12.0,EFG Team,17,11,5,11,4,12,0,7,2
12,13.0,WICKED,14,15,0,10,1,10,2,6,3
13,14.0,WLS,13,14,2,15,3,14,0,10,3
14,15.0,PXL,13,9,2,17,0,9,5,9,0
15,16.0,SYND,12,4,5,12,0,15,0,19,0
16,17.0,PDPivas,11,12,2,6,2,20,0,8,1
17,18.0,PRSTS,9,17,0,19,0,18,3,15,5
18,19.0,1515,9,19,0,9,2,17,0,5,1
19,20.0,MOB INT,4,18,0,13,2,19,1,16,0
