Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,SJP2,70,1,9,4,8,18,0,6,7,12,2,1,11,Lobby 1
2.0,NXB,56,15,2,18,0,4,8,3,9,3,5,4,7,Lobby 1
3.0,GOD,55,6,3,8,5,2,8,2,8,20,0,5,4,Lobby 1
4.0,SSD,50,4,3,16,0,10,6,8,2,1,17,17,1,Lobby 1
5.0,SMS,50,3,5,2,10,3,5,20,0,17,0,6,4,Lobby 1
6.0,LOS,50,9,2,17,3,1,8,4,5,2,4,19,0,Lobby 1
7.0,SYND,46,2,5,14,1,7,4,13,0,5,3,3,8,Lobby 1
8.0,Zeta,38,8,4,6,1,5,3,1,3,11,2,8,1,Lobby 1
9.0,CHI,36,5,4,3,2,15,0,12,0,4,5,7,4,Lobby 1
10.0,TRJ,34,20,0,1,12,20,0,9,5,16,0,16,3,Lobby 1
11.0,ZBW,33,19,0,7,1,14,0,5,2,9,7,2,4,Lobby 1
12.0,CRAZYx3,20,17,0,15,3,9,6,19,0,15,2,14,4,Lobby 1
13.0,1872,19,12,4,12,3,16,0,11,2,8,3,11,1,Lobby 1
14.0,backseat,18,7,6,19,0,12,3,10,0,19,0,10,1,Lobby 1
15.0,NoHalo,17,11,6,13,0,19,0,15,3,18,0,12,4,Lobby 1
16.0,L2S,17,18,0,10,3,17,3,14,3,14,1,9,1,Lobby 1
17.0,HKE,17,10,1,20,0,13,1,7,3,6,3,18,0,Lobby 1
18.0,NIBL,16,16,0,5,4,8,3,17,1,13,1,20,0,Lobby 1
19.0,60fps,13,13,0,11,1,6,0,18,2,7,1,13,0,Lobby 1
20.0,ThatsNotaBoulder,12,14,2,9,0,11,0,16,0,10,3,15,0,Lobby 1
