,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 12:00 GMTWorld's Edge Game of Drones Monkey Milkers 6 banok na troih","Round 1 Round 1 October 31, 2021 - 12:00 GMTWorld's Edge Game of Drones Monkey Milkers 6 banok na troih","Round 2 Round 2 October 31, 2021 - 12:30 GMTWorld's Edge Syndicates Kryptic Gaming Moanerz EU","Round 2 Round 2 October 31, 2021 - 12:30 GMTWorld's Edge Syndicates Kryptic Gaming Moanerz EU","Round 3 Round 3 October 31, 2021 - 16:00 GMTWorld's Edge Game of Drones Syndicates Bitfix Gaming","Round 3 Round 3 October 31, 2021 - 16:00 GMTWorld's Edge Game of Drones Syndicates Bitfix Gaming","Round 4 Round 4 October 31, 2021 - 16:30 GMTWorld's Edge Syndicates Illuminari NIBBLE Esports","Round 4 Round 4 October 31, 2021 - 16:30 GMTWorld's Edge Syndicates Illuminari NIBBLE Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,SYND,73,12,9,1,14,2,5,1,11
1,2.0,GOD,50,1,13,8,2,1,9,17,0
2,3.0,WLS,28,9,6,9,9,12,6,16,2
3,4.0,BFG,28,13,0,4,6,3,6,14,2
4,5.0,ILL,26,15,0,6,2,20,0,2,11
5,6.0,NIBL,24,14,8,16,0,15,0,3,7
6,7.0,3FR,23,10,1,19,0,9,5,5,9
7,8.0,backseat,23,7,0,5,3,6,7,9,1
8,9.0,Kryptic,23,16,1,2,6,5,1,15,1
9,10.0,LOS,20,6,6,7,1,11,1,7,2
10,11.0,SPIRAL,19,8,5,11,0,13,0,6,7
11,12.0,Trigger warning,19,11,1,12,3,4,3,4,0
12,13.0,Monkey Milkers,18,2,2,18,0,7,3,12,0
13,14.0,Moanerz EU,17,17,1,3,6,19,0,8,1
14,15.0,plei,15,4,5,14,0,18,1,13,2
15,16.0,6bnt,15,3,4,13,0,14,2,19,0
16,17.0,CG,9,20,0,10,3,16,2,10,0
17,18.0,Young Squad,7,5,0,15,0,17,1,11,0
18,19.0,2vodkas1beer,6,18,2,20,0,10,2,20,0
19,20.0,Aspirateur,6,19,0,17,0,8,3,18,1
