Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,ALKaIIIbI,61,1,9,3,3,7,3,1,12,Lobby 1
2.0,SMS,45,7,1,6,4,2,12,2,4,Lobby 1
3.0,CHI,39,13,4,1,16,4,0,18,1,Lobby 1
4.0,SSD,37,3,2,18,0,1,15,14,0,Lobby 1
5.0,ARIS,29,6,5,2,7,17,3,9,0,Lobby 1
6.0,CRAZYx3,25,18,1,12,3,8,2,3,9,Lobby 1
7.0,Justthreeplayers,23,5,8,16,2,11,2,5,2,Lobby 1
8.0,NIBL,22,10,1,9,3,3,5,10,0,Lobby 1
9.0,iEnvy,21,14,2,4,7,16,3,11,2,Lobby 1
10.0,60fps,21,4,1,11,3,9,1,8,6,Lobby 1
11.0,weeboys,21,2,6,19,1,14,1,7,0,Lobby 1
12.0,ThatsNotaBoulder,17,17,1,7,3,10,2,6,3,Lobby 1
13.0,FTG,14,20,0,10,2,20,0,4,5,Lobby 1
14.0,31SJ,13,11,0,15,1,18,1,12,8,Lobby 1
15.0,Nirvana,13,12,4,5,0,6,0,17,1,Lobby 1
16.0,CG,11,15,0,14,2,19,3,13,3,Lobby 1
17.0,VIVIFY,11,16,2,17,0,5,4,16,1,Lobby 1
18.0,Team KST,9,9,5,20,0,13,1,19,0,Lobby 1
19.0,F7,9,8,3,8,0,15,0,15,0,Lobby 1
20.0,DNMK,2,19,0,13,0,12,0,20,0,Lobby 1
1.0,CHASE,54,5,1,1,10,1,13,9,0,Lobby 2
2.0,NXB,42,1,12,11,4,6,5,16,5,Lobby 2
3.0,GOD,40,2,14,17,0,3,6,8,2,Lobby 2
4.0,PRSTS,39,3,9,4,3,9,0,6,10,Lobby 2
5.0,Uchinix,38,16,0,3,16,11,0,2,5,Lobby 2
6.0,AWL,34,14,3,6,7,4,11,13,3,Lobby 2
7.0,Steamroller,33,10,1,20,0,5,5,1,9,Lobby 2
8.0,TREX,31,15,0,9,0,2,12,4,2,Lobby 2
9.0,Senbonzakura,27,8,1,2,4,18,0,5,7,Lobby 2
10.0,DOT,22,6,3,7,1,12,0,3,4,Lobby 2
11.0,ATK,16,12,3,5,3,8,1,10,0,Lobby 2
12.0,Direx3.22,13,7,3,16,0,10,0,7,2,Lobby 2
13.0,21cm,12,4,3,12,3,16,0,18,0,Lobby 2
14.0,2dorogi na troih,10,19,0,8,4,17,0,15,3,Lobby 2
15.0,AFG-Khakbaad,6,9,3,14,0,20,0,19,0,Lobby 2
16.0,NoHalo,6,11,0,10,0,14,1,11,0,Lobby 2
17.0,Albi eSport,6,13,0,18,0,7,1,12,0,Lobby 2
18.0,BBG,4,20,0,15,0,15,1,14,0,Lobby 2
19.0,Kissyourhomies,3,17,0,19,0,13,0,17,2,Lobby 2
20.0,Kryptic,1,18,0,13,0,19,0,20,0,Lobby 2
1.0,backseat,66,1,9,1,18,4,10,18,0,Lobby 3
2.0,6bnt,47,9,1,2,6,1,14,10,1,Lobby 3
3.0,WLS,38,8,4,8,4,9,4,1,8,Lobby 3
4.0,BLANK,32,13,7,7,5,3,3,6,3,Lobby 3
5.0,Lucendi,27,14,1,15,5,6,2,3,7,Lobby 3
6.0,HKE,27,3,9,3,1,16,1,13,1,Lobby 3
7.0,Exalty,27,12,0,4,4,18,3,2,5,Lobby 3
8.0,SPPI,26,11,0,12,3,2,7,9,3,Lobby 3
9.0,Yes,25,2,7,17,0,12,0,4,3,Lobby 3
10.0,ZBW,21,6,1,6,3,19,0,5,7,Lobby 3
11.0,1872,17,19,0,19,0,5,8,16,5,Lobby 3
12.0,EFG Team,16,4,7,16,1,11,0,15,1,Lobby 3
13.0,Monkey Milkers,13,7,2,13,2,7,2,17,0,Lobby 3
14.0,Oui,11,18,0,18,0,15,0,7,7,Lobby 3
15.0,FP,10,10,3,11,1,8,1,19,0,Lobby 3
16.0,Nuclear Apes,10,15,0,5,2,14,0,12,1,Lobby 3
17.0,Sxercise,9,5,2,9,0,17,0,14,0,Lobby 3
18.0,SocksOUT,7,17,0,14,0,10,1,8,1,Lobby 3
19.0,OXR,6,16,0,10,2,13,0,11,0,Lobby 3
20.0,DoubleStuffdOreo,0,20,0,20,0,20,0,20,0,Lobby 3
1.0,SJP2,63,1,12,11,4,3,18,4,4,Lobby 4
2.0,SCTA,49,2,5,6,2,5,5,1,9,Lobby 4
3.0,TRJ,42,15,4,1,10,16,0,3,8,Lobby 4
4.0,NoFear,38,5,7,5,9,11,2,7,8,Lobby 4
5.0,MantaX,33,11,3,12,1,1,9,9,4,Lobby 4
6.0,INS,31,3,6,3,2,4,1,12,2,Lobby 4
7.0,BFG,28,4,1,16,1,2,7,6,2,Lobby 4
8.0,HNY,24,19,0,2,11,15,2,15,0,Lobby 4
9.0,Spacegliders,23,8,0,7,2,9,1,2,4,Lobby 4
10.0,HLDC,21,7,7,10,4,18,3,14,1,Lobby 4
11.0,Are we in,20,10,1,4,2,10,1,5,3,Lobby 4
12.0,Pony,17,20,0,13,4,6,3,8,4,Lobby 4
13.0,L2S,15,9,6,18,0,7,2,13,1,Lobby 4
14.0,ExplosionFusion,10,13,0,8,5,17,0,11,1,Lobby 4
15.0,UTFT,8,6,0,15,0,12,3,18,0,Lobby 4
16.0,Whiff Tang,7,14,3,20,1,20,0,10,0,Lobby 4
17.0,JIGSAW,5,12,0,9,1,14,0,20,0,Lobby 4
18.0,T3W,4,16,2,14,0,13,0,17,0,Lobby 4
19.0,Aim Assist,2,18,0,17,0,19,0,16,2,Lobby 4
20.0,D4RP,2,17,0,19,0,8,0,19,0,Lobby 4
