,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 14:30 GMTWorld's Edge Priests T-Rex CRAZYx3","Round 1 Round 1 November 21, 2021 - 14:30 GMTWorld's Edge Priests T-Rex CRAZYx3","Round 2 Round 2 November 21, 2021 - 15:00 GMTWorld's Edge T-Rex Steamroller Priests","Round 2 Round 2 November 21, 2021 - 15:00 GMTWorld's Edge T-Rex Steamroller Priests","Round 3 Round 3 November 21, 2021 - 15:30 GMTWorld's Edge T-Rex Morning Stars Game of Drones","Round 3 Round 3 November 21, 2021 - 15:30 GMTWorld's Edge T-Rex Morning Stars Game of Drones","Round 4 Round 4 November 21, 2021 - 16:00 GMTWorld's Edge SSD DOT Uchinix","Round 4 Round 4 November 21, 2021 - 16:00 GMTWorld's Edge SSD DOT Uchinix","Round 5 Round 5 November 21, 2021 - 16:30 GMTWorld's Edge T-Rex Uchinix Game of Drones","Round 5 Round 5 November 21, 2021 - 16:30 GMTWorld's Edge T-Rex Uchinix Game of Drones","Round 6 Round 6 November 21, 2021 - 17:00 GMTWorld's Edge Steamroller SSD AlwaysWannaLose","Round 6 Round 6 November 21, 2021 - 17:00 GMTWorld's Edge Steamroller SSD AlwaysWannaLose"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TREX,93,2,3,1,4,1,17,12,0,1,7,4,11
1,2.0,PRSTS,72,1,17,3,15,15,4,6,8,11,3,12,0
2,3.0,AWL,54,5,7,17,0,14,5,11,8,7,9,3,9
3,4.0,SMS,53,12,0,7,5,2,7,4,7,5,12,18,0
4,5.0,Steamroller,49,13,3,2,3,4,0,16,1,6,5,1,7
5,6.0,SSD,48,20,0,20,0,6,5,1,7,9,3,2,7
6,7.0,GOD,43,11,3,9,2,3,3,17,1,3,6,5,7
7,8.0,CRAZYx3,38,3,5,5,10,20,1,14,0,4,2,7,0
8,9.0,DOT,37,4,6,14,0,17,1,2,11,10,0,15,1
9,10.0,Uchinix,36,9,0,12,2,18,0,3,9,2,4,8,0
10,11.0,CHASE,27,17,0,4,3,5,6,5,1,14,0,6,0
11,12.0,NIBL,21,7,6,18,0,13,3,13,1,19,1,10,3
12,13.0,ALKaIIIbI,21,14,5,6,2,12,0,8,1,13,1,9,2
13,14.0,NXB,19,18,0,15,1,7,5,19,0,12,0,11,7
14,15.0,Justthreeplayers,15,10,0,13,6,9,1,18,0,20,0,17,3
15,16.0,iEnvy,15,15,1,10,0,8,2,9,1,8,1,13,0
16,17.0,Senbonzakura,14,16,0,8,1,10,0,7,2,15,3,20,0
17,18.0,CHI,9,8,0,11,3,11,0,10,0,18,0,19,0
18,19.0,weeboys,7,6,2,16,0,16,0,15,0,16,0,14,0
19,20.0,ARIS,0,19,0,19,0,19,0,20,0,17,0,16,0
