,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 6, 2021 - 17:40 GMTWorld's Edge Morning Stars ZBW T-Rex","Round 1 Round 1 December 6, 2021 - 17:40 GMTWorld's Edge Morning Stars ZBW T-Rex","Round 2 Round 2 December 6, 2021 - 18:10 GMTWorld's Edge T-Rex SeComportaYa Morning Stars","Round 2 Round 2 December 6, 2021 - 18:10 GMTWorld's Edge T-Rex SeComportaYa Morning Stars","Round 3 Round 3 December 6, 2021 - 19:40 GMTWorld's Edge Xcentric Game of Drones Morning Stars","Round 3 Round 3 December 6, 2021 - 19:40 GMTWorld's Edge Xcentric Game of Drones Morning Stars","Round 4 Round 4 December 6, 2021 - 20:10 GMTWorld's Edge 1872 SeComportaYa Syndicates","Round 4 Round 4 December 6, 2021 - 20:10 GMTWorld's Edge 1872 SeComportaYa Syndicates","Round 5 Round 5 December 6, 2021 - 20:40 GMTWorld's Edge Kryptic Gaming Game of Drones T-Rex","Round 5 Round 5 December 6, 2021 - 20:40 GMTWorld's Edge Kryptic Gaming Game of Drones T-Rex","Round 6 Round 6 December 6, 2021 - 21:10 GMTWorld's Edge SJP2 Game of Drones CRAZYx3","Round 6 Round 6 December 6, 2021 - 21:10 GMTWorld's Edge SJP2 Game of Drones CRAZYx3"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GOD,62,14,1,8,6,2,9,9,3,2,3,2,8
1,2.0,TREX,60,3,6,1,11,4,6,14,0,3,5,17,0
2,3.0,SMS,57,1,7,3,9,3,7,8,0,4,1,18,0
3,4.0,ZBW,45,2,15,4,7,19,0,5,2,17,0,8,1
4,5.0,SSD,43,6,10,11,6,18,0,19,0,6,12,11,7
5,6.0,SCTA,40,13,1,2,4,7,0,2,5,11,4,7,0
6,7.0,1872,39,15,2,18,0,17,0,1,19,15,1,16,3
7,8.0,CRAZYx3,38,12,1,12,1,12,4,16,0,12,4,3,17
8,9.0,backseat,38,4,5,10,2,6,7,13,3,9,2,5,2
9,10.0,Kryptic,35,11,0,17,1,5,1,12,2,1,12,14,0
10,11.0,Xc,35,9,0,5,2,1,8,15,0,11,1,6,1
11,12.0,SJP2,31,20,0,20,1,20,0,20,0,16,5,1,13
12,13.0,Sip auf Hirn,26,8,2,14,2,11,6,4,7,20,0,20,0
13,14.0,ATK,23,16,0,7,0,9,5,6,1,13,6,9,0
14,15.0,SYND,20,19,0,13,0,16,1,3,10,19,0,15,0
15,16.0,6bnt,20,10,1,6,0,8,1,11,3,8,4,13,0
16,17.0,LOS,20,7,5,16,0,10,0,7,0,7,1,10,1
17,18.0,HRV,19,5,2,15,2,13,2,17,0,5,0,12,2
18,19.0,Uchinix,18,18,0,19,0,14,3,10,0,18,2,4,5
19,20.0,BBG,10,17,1,9,3,15,0,18,0,14,2,19,0
