Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,SJP2,90,2,9,1,14,9,2,10,7,1,21,20,0,Lobby 1
2.0,TREX,73,1,7,2,6,12,5,11,0,6,5,1,12,Lobby 1
3.0,SMS,55,4,7,5,9,13,5,14,2,5,7,11,9,Lobby 1
4.0,SYND,49,8,1,10,3,8,5,3,10,12,4,4,7,Lobby 1
5.0,ZBW,45,19,0,3,3,4,5,18,0,2,2,2,5,Lobby 1
6.0,CRAZYx3,43,13,2,7,4,7,6,1,10,11,0,13,0,Lobby 1
7.0,GOD,37,3,1,11,2,1,6,7,2,8,0,12,0,Lobby 1
8.0,LOS,36,11,2,13,0,2,0,2,3,10,1,3,1,Lobby 1
9.0,Xc,33,6,3,20,0,3,3,9,1,4,9,19,0,Lobby 1
10.0,Uchinix,27,18,3,9,2,18,0,5,3,3,5,16,1,Lobby 1
11.0,TRJ,26,16,6,4,5,16,1,8,4,15,0,14,1,Lobby 1
12.0,HLDC,26,5,2,14,2,14,0,4,6,13,1,10,1,Lobby 1
13.0,Sxercise,25,9,0,16,2,5,4,15,3,17,0,6,6,Lobby 1
14.0,CHI,23,17,0,8,1,15,6,12,2,9,0,5,4,Lobby 1
15.0,Dark Synergy,19,10,3,6,3,17,0,19,0,7,3,8,0,Lobby 1
16.0,SPIRAL,16,14,5,18,0,19,0,17,3,19,3,7,1,Lobby 1
17.0,Velocity,14,7,1,19,0,11,0,20,1,20,0,9,6,Lobby 1
18.0,Onl1chance,10,20,0,17,1,10,7,16,0,18,0,17,0,Lobby 1
19.0,F7,10,12,0,15,1,6,1,13,0,14,0,15,0,Lobby 1
20.0,NoToDay,6,15,0,12,0,20,0,6,1,16,0,18,0,Lobby 1
1.0,SCTA,74,10,0,3,15,2,8,4,0,2,10,6,6,Lobby 2
2.0,6bnt,59,5,3,7,2,6,3,7,5,1,9,2,3,Lobby 2
3.0,1872,50,19,0,14,6,14,10,2,16,20,0,5,3,Lobby 2
4.0,Sip auf Hirn,45,7,3,6,6,4,4,3,9,18,0,8,3,Lobby 2
5.0,HRV,45,2,9,10,3,16,0,18,1,6,7,3,4,Lobby 2
6.0,ATK,44,9,9,11,4,8,1,1,9,10,0,18,2,Lobby 2
7.0,SSD,41,6,2,17,0,11,1,13,2,12,1,1,17,Lobby 2
8.0,backseat,40,1,13,9,0,13,4,19,0,8,4,10,0,Lobby 2
9.0,BBG,36,15,0,5,8,15,0,6,6,7,0,4,5,Lobby 2
10.0,Kryptic,35,11,4,2,4,9,0,17,2,5,8,13,0,Lobby 2
11.0,NoHalo,34,14,3,4,8,17,1,12,0,4,6,12,3,Lobby 2
12.0,HKE,30,16,3,20,0,1,9,5,2,16,0,20,0,Lobby 2
13.0,Steamroller,28,18,0,1,5,5,4,14,1,17,0,15,0,Lobby 2
14.0,3FR,27,4,5,16,0,3,7,20,0,13,2,17,0,Lobby 2
15.0,HNY,24,3,3,8,0,10,2,15,3,14,1,14,1,Lobby 2
16.0,CHASE,21,20,0,12,3,20,0,10,0,9,1,7,9,Lobby 2
17.0,ALKallbl,20,13,0,15,0,12,1,9,1,3,5,11,0,Lobby 2
18.0,LucendiGaming,15,8,0,13,0,7,1,8,0,11,0,9,3,Lobby 2
19.0,BFG,10,17,1,18,0,18,2,11,0,19,3,16,3,Lobby 2
20.0,NyanPasu,2,12,0,19,0,19,0,16,0,15,0,19,0,Lobby 2
