Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
1.0,NEW,77,11,0,4,5,16,1,18,2,18,0,6,4,9,3,1,15,11,4,1,7,8
2.0,ALL,116,2,12,1,10,5,6,17,0,4,2,3,6,3,8,11,2,4,8,7,0,2
3.0,GMB,100,5,3,2,10,1,11,13,0,5,2,4,2,7,3,4,2,15,5,3,1,3
4.0,IG,88,1,14,5,4,4,12,2,8,10,0,14,0,19,0,19,0,14,0,4,8,3
5.0,69IQ,85,14,4,3,1,15,0,19,0,1,9,7,8,4,3,6,3,2,2,6,4,6
6.0,MP,68,8,1,13,3,7,0,1,10,11,11,18,0,5,7,16,4,17,6,18,3,7
7.0,RBL,58,15,0,10,4,13,1,8,1,19,0,1,14,8,4,15,2,16,2,9,6,9
8.0,HRZN,58,9,3,16,0,9,2,4,7,12,2,5,6,16,0,5,4,3,4,8,3,9
9.0,GMT,57,16,0,12,2,8,7,3,7,2,6,19,0,6,4,8,0,12,0,20,0,7
10.0,GUILD,55,4,4,7,6,6,0,9,2,16,0,20,0,20,0,7,5,5,5,12,4,9
11.0,SOL,53,13,1,20,0,17,0,10,7,3,9,13,0,10,2,18,0,1,9,16,0,9
12.0,K1CK,53,10,5,19,3,2,9,6,7,6,4,17,0,14,1,17,0,8,0,15,3,10
13.0,ETH,49,7,3,9,0,10,3,5,0,14,1,9,0,2,2,14,0,13,1,2,5,-
14.0,TTM,48,20,0,11,0,3,2,7,3,7,3,12,0,13,0,3,2,10,4,5,3,-
15.0,MAGI,42,19,0,8,2,20,0,14,0,20,0,16,3,1,10,13,0,9,0,14,3,-
16.0,NAVI,42,3,7,14,0,12,0,16,0,15,1,15,0,12,0,2,9,20,0,17,0,-
17.0,KNG,39,6,0,6,6,18,0,15,0,8,2,2,3,15,0,12,0,7,3,11,1,-
18.0,DM,38,18,2,17,0,14,0,12,3,17,2,11,5,11,11,10,4,18,0,13,4,-
19.0,RASC,26,17,1,15,2,11,3,20,0,13,1,8,4,18,0,20,0,6,3,10,2,-
20.0,SZ.EU,15,12,0,18,0,19,0,11,0,9,3,10,0,17,0,9,3,19,1,19,0,-
