,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression
,Unnamed: 0_level_1,Team,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total
,Unnamed: 0_level_2,Team,1,2,3,4,5,6,7,8,9,10
0,2.0,ALL,30,52,62,62,69,82,97,100,113,116
1,3.0,GMB,17,36,59,60,66,73,79,86,92,100
2,4.0,IG,29,37,54,71,73,74,74,74,75,88
3,5.0,69IQ,12,20,21,21,42,53,61,67,78,85
4,6.0,MP,3,7,10,32,44,44,55,59,65,68
5,9.0,GMT,6,9,18,32,47,47,54,56,57,57
6,1.0,NEW,1,11,12,14,14,21,26,53,58,77
7,7.0,RBL,2,8,10,13,13,39,45,48,50,58
8,8.0,HRZN,5,5,9,21,24,34,34,42,53,58
9,10.0,GUILD,17,26,29,33,33,33,33,41,50,55
10,11.0,SOL,2,2,2,11,27,28,32,32,53,53
11,12.0,K1CK,7,10,28,38,45,45,47,47,49,53
