C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,69IQ,67,13,3,3,4,2,4,5,3,2,3,1,8
2.0,ALL,51,16,0,2,11,11,0,1,10,19,0,4,3
3.0,GUILD,50,5,0,1,11,3,4,14,5,18,0,9,4
4.0,TTM,46,10,0,4,9,7,0,20,0,5,11,7,9
5.0,NMS,45,4,7,12,1,19,0,13,0,1,18,19,0
6.0,RASC,38,1,9,6,4,20,0,19,1,13,0,5,4
7.0,SZ.EU,37,19,0,16,3,15,6,4,2,4,1,3,7
8.0,ETH,34,11,0,8,2,4,7,11,2,17,0,2,5
9.0,FV,33,8,5,13,1,14,0,8,3,3,4,10,5
10.0,FP,32,20,0,14,0,1,14,17,1,9,2,17,0
11.0,PXL,32,2,10,9,0,18,0,15,0,6,3,13,3
12.0,IG,31,15,1,7,6,5,8,7,2,11,1,11,0
13.0,FORG,29,6,8,17,0,8,4,10,4,7,2,15,0
14.0,USG,27,9,2,5,2,9,2,6,3,12,2,6,1
15.0,UND,25,17,0,20,0,10,5,3,11,20,0,20,0
16.0,NEW,23,14,2,10,1,6,2,2,3,16,0,18,0
17.0,CLQ,19,7,4,19,0,13,0,18,3,8,2,12,3
18.0,FB,19,3,3,11,1,17,0,16,0,10,5,16,0
19.0,YMG,18,12,3,15,2,12,1,9,2,15,0,8,2
20.0,K1CK,16,18,1,18,0,16,0,12,3,14,3,14,6
