B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TD,71,2,10,2,11,13,1,1,6,18,0,2,3
2.0,MYZ,63,10,9,10,4,3,4,14,3,6,2,1,14
3.0,RD,61,15,1,9,4,1,12,2,2,3,8,14,2
4.0,789,53,4,6,3,11,16,0,4,5,14,0,4,8
5.0,KNG,47,1,8,11,4,6,2,16,0,10,3,6,9
6.0,FORG,44,19,0,5,4,5,4,15,2,1,8,8,3
7.0,DM,40,5,3,1,9,17,0,6,8,17,0,15,0
8.0,69IQ,37,7,1,6,4,7,6,7,1,5,7,12,1
9.0,GUILD,35,9,4,18,3,10,1,19,1,2,5,10,6
10.0,SQG,31,8,0,12,0,15,8,5,13,16,1,13,0
11.0,MP,31,3,5,4,0,8,5,13,1,11,4,18,0
12.0,TTM,29,14,3,7,3,2,5,8,0,13,1,11,0
13.0,FP,27,16,2,16,0,4,2,10,2,7,4,5,3
14.0,FV,23,6,1,14,0,11,1,3,6,12,2,16,0
15.0,SZ.EU,20,20,0,15,0,9,2,11,0,9,4,7,5
16.0,RBL,16,18,0,17,0,12,1,9,3,19,0,3,2
17.0,NMS,12,11,2,19,0,14,1,18,2,15,4,20,0
18.0,RAT,10,13,2,20,0,20,0,20,0,4,2,19,0
19.0,YMG,9,12,2,13,0,18,1,12,1,20,0,9,0
20.0,PXL,7,17,0,8,0,19,0,17,0,8,2,17,1
