B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,K1CK,66,2,10,2,7,12,0,8,2,10,5,2,10
2.0,RBL,58,4,6,6,1,3,3,2,3,1,6,7,0
3.0,IG,57,5,4,5,7,18,0,5,1,5,5,1,12
4.0,ALL,55,1,13,18,0,19,3,3,5,2,4,9,0
5.0,UND,44,6,0,20,0,4,5,1,13,13,0,10,3
6.0,ETH,42,16,0,16,0,7,7,7,1,3,10,3,4
7.0,MYZ,41,3,1,19,0,1,9,12,0,9,1,6,5
8.0,789,37,19,2,1,6,10,4,10,0,6,4,14,1
9.0,MP,36,15,0,3,10,15,3,19,0,4,8,11,0
10.0,FB,31,7,0,7,3,20,0,6,6,12,6,8,4
11.0,TD,31,17,0,15,3,8,4,4,7,15,0,4,3
12.0,RD,26,9,7,8,7,11,0,11,1,20,0,5,1
13.0,NEW,23,8,1,10,2,9,0,15,8,18,0,16,5
14.0,RAT,21,10,5,13,0,2,1,17,0,19,0,19,3
15.0,CLQ,20,13,0,4,2,5,3,9,0,7,0,20,0
16.0,DM,19,14,4,11,0,13,3,20,0,15,3,15,4
17.0,SQG,18,11,2,12,5,16,2,13,6,17,0,17,0
18.0,USG,18,12,4,14,0,6,5,16,2,16,2,18,0
19.0,KNG,12,18,0,9,1,14,0,14,0,8,3,13,1
20.0,RASC,7,20,0,17,1,17,0,18,2,11,0,12,2
