A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FP,69,13,4,3,10,15,5,1,9,1,7,11,0
2.0,TTM,53,11,3,4,7,6,1,2,9,3,1,8,5
3.0,GMB,50,3,6,19,0,1,10,17,0,5,8,10,1
4.0,69IQ,46,1,7,9,0,7,6,16,0,9,0,3,7
5.0,CLN,45,8,5,7,3,3,5,9,0,12,3,2,5
6.0,FORG,42,10,1,6,6,9,4,3,8,6,5,19,1
7.0,LCDF,40,2,4,18,0,11,0,5,4,2,5,6,1
8.0,SZ.EU,39,4,6,11,0,14,1,4,8,15,1,9,8
9.0,FV,38,6,3,2,2,4,7,19,0,7,5,14,0
10.0,GMT,37,5,4,10,2,2,3,18,0,4,1,7,4
11.0,ZETA,30,17,3,1,7,13,3,10,1,18,0,15,0
12.0,DI,28,7,0,17,0,8,1,12,1,19,0,1,8
13.0,GUILD,26,14,3,8,2,17,3,8,6,10,5,17,0
14.0,PXL,21,12,3,13,6,19,0,15,1,14,2,12,4
15.0,OP,21,15,0,5,2,16,0,7,2,8,7,18,0
16.0,AP,20,18,0,12,0,12,0,6,0,17,0,4,10
17.0,NAVI,14,9,0,15,2,5,3,11,0,16,0,13,0
18.0,YMG,13,19,0,16,0,10,1,13,4,11,4,16,0
19.0,NMS,13,16,1,14,3,18,0,14,0,13,0,5,2
20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
