,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6
,#,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1
0,1.,GMT,GMT,12,12,-,-,-,-,-,,,,,,
1,1.,IG,IG,12,12,-,-,-,-,-,,,,,,
2,3.,DM,DM,9,9,-,-,-,-,-,,,,,,
3,3.,GMB,GMB,9,9,-,-,-,-,-,,,,,,
4,5.,MP,MP,7,7,-,-,-,-,-,,,,,,
5,6.,GUILD,GUILD,7,7,-,-,-,-,-,,,,,,
6,7.,69IQ,69IQ,5,5,-,-,-,-,-,,,,,,
7,7.,KNG,KNG,5,5,-,-,-,-,-,,,,,,
8,9.,K1CK,K1CK,4,4,-,-,-,-,-,,,,,,
9,9.,LCDF,LCDF,4,4,-,-,-,-,-,,,,,,
10,11.,OP,OP,3,3,-,-,-,-,-,,,,,,
11,12.,NAVI,NAVI,3,3,-,-,-,-,-,,,,,,
12,12.,NEW,NEW,3,3,-,-,-,-,-,,,,,,
