,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge GMT Esports Gambit Esports Natus Vincere","Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge GMT Esports Gambit Esports Natus Vincere","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Rascals AllPlanned dead inside","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Rascals AllPlanned dead inside","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Gambit Esports Les cités de France UNDERRATED","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Gambit Esports Les cités de France UNDERRATED","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports GMT Esports","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports GMT Esports","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge Alliance NEW Esports ZETA DIVISION","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge Alliance NEW Esports ZETA DIVISION","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Clean Alliance Invictus Gaming International","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Clean Alliance Invictus Gaming International"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ALL,60,180,0,170,11,111,44,112,77,112,1111,29,33
1,2.0,GMB,57,29,1010,102,33,112,88,170,0,170,22,45,66
2,3.0,NEW,52,102,33,111,55,170,33,29,66,29,1111,170,33
3,4.0,GMT,48,112,1111,131,0,92,22,37,88,82,33,160,0
4,5.0,UND,47,45,77,151,11,37,77,73,44,54,66,131,11
5,6.0,CLN,46,73,0,92,44,82,44,54,33,141,11,112,1010
6,7.0,IG,37,190,0,45,77,121,0,141,44,131,33,37,88
7,8.0,DI,35,63,11,37,77,45,44,102,44,151,0,121,0
8,9.0,RASC,35,54,44,112,1010,131,0,160,0,111,0,102,11
9,10.0,AP,32,92,33,29,33,190,0,45,33,45,11,151,0
10,11.0,LCDF,29,170,0,63,22,29,66,82,0,121,33,92,11
11,12.0,OP,28,121,33,73,22,54,55,111,22,160,33,111,33
12,13.0,ETH,28,131,0,82,44,63,44,121,33,102,11,73,44
13,14.0,ZETA,24,82,11,190,0,151,0,63,33,37,66,141,0
14,15.0,FB,23,160,0,141,22,141,0,151,44,73,0,63,88
15,16.0,NAVI,22,37,99,121,0,160,22,92,0,180,0,180,11
16,17.0,USG,22,151,0,180,0,73,22,131,22,63,44,54,22
17,18.0,CLQ,16,111,11,54,33,102,33,180,0,92,0,190,0
18,19.0,K1CK,10,141,0,160,0,180,0,190,0,190,0,82,77
19,20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
