,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 24, 2021 - 17:00 CETWorld's Edge NEW Esports Guild Esports SCARZ Europe","Round 1 Round 1 October 24, 2021 - 17:00 CETWorld's Edge NEW Esports Guild Esports SCARZ Europe","Round 2 Round 2 October 24, 2021 - 17:35 CETWorld's Edge Alliance Future Perfect NEW Esports","Round 2 Round 2 October 24, 2021 - 17:35 CETWorld's Edge Alliance Future Perfect NEW Esports","Round 3 Round 3 October 24, 2021 - 18:10 CETWorld's Edge SCARZ Europe Guild Esports Ethernal","Round 3 Round 3 October 24, 2021 - 18:10 CETWorld's Edge SCARZ Europe Guild Esports Ethernal","Round 4 Round 4 October 24, 2021 - 18:45 CETWorld's Edge K1CK Guild Esports Future Perfect","Round 4 Round 4 October 24, 2021 - 18:45 CETWorld's Edge K1CK Guild Esports Future Perfect","Round 5 Round 5 October 24, 2021 - 19:20 CETWorld's Edge 1907 Fenerbahçe Esports Nemesis Guild Esports","Round 5 Round 5 October 24, 2021 - 19:20 CETWorld's Edge 1907 Fenerbahçe Esports Nemesis Guild Esports","Round 6 Round 6 October 24, 2021 - 19:55 CETWorld's Edge Totem Esports Phoenix Legacy Invictus Gaming International","Round 6 Round 6 October 24, 2021 - 19:55 CETWorld's Edge Totem Esports Phoenix Legacy Invictus Gaming International"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GUILD,74,29,55,63,33,29,1010,29,99,37,1010,170,0
1,2.0,SZ.EU,70,37,66,54,66,112,1212,45,1010,82,22,111,33
2,3.0,NEW,68,112,1414,37,66,54,55,151,11,141,66,45,66
3,4.0,TTM,55,141,0,160,33,63,55,54,22,63,77,112,1515
4,5.0,ETH,38,45,44,73,55,37,33,63,33,121,0,54,0
5,6.0,FB,34,73,22,121,22,170,33,141,0,112,99,180,11
6,7.0,ALL,34,180,0,112,88,45,33,121,22,92,11,200,0
7,8.0,FP,34,63,11,29,88,151,0,37,0,111,0,92,22
8,9.0,K1CK,30,82,22,82,22,200,0,112,77,200,0,63,0
9,10.0,PXL,29,131,55,200,0,121,11,200,0,190,0,29,1212
10,11.0,UND,29,170,44,141,33,102,11,73,44,73,44,102,22
11,12.0,FV,28,92,44,190,0,82,55,160,33,151,44,73,44
12,13.0,IG,28,111,11,131,11,92,11,111,22,131,55,37,55
13,14.0,FORG,28,54,22,92,44,73,0,92,66,54,0,151,0
14,15.0,CLQ,26,102,44,45,22,141,55,82,33,180,0,141,11
15,16.0,NMS,23,200,0,151,0,180,0,170,33,29,55,82,33
16,17.0,69IQ,16,160,0,170,0,131,33,102,44,102,33,160,11
17,18.0,YMG,13,151,11,102,11,111,66,131,0,160,0,190,0
18,19.0,RASC,9,190,0,180,0,190,0,180,22,45,0,131,11
19,20.0,USG,5,121,0,111,22,160,0,190,0,170,0,121,0
