,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge MajorPushers Nemesis Rebel","Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge MajorPushers Nemesis Rebel","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Kungarna FIGVAM 69iQ esports","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Kungarna FIGVAM 69iQ esports","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Future Perfect YungMoneyGuild Totem Esports","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Future Perfect YungMoneyGuild Totem Esports","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge YungMoneyGuild Rebel Rats","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge YungMoneyGuild Rebel Rats","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge 69iQ esports YungMoneyGuild Totem Esports","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge 69iQ esports YungMoneyGuild Totem Esports","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Myztro Gaming SCARZ Europe 789","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Myztro Gaming SCARZ Europe 789"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FP,71,12,6,5,5,1,15,4,7,4,6,5,1
1,2.0,YMG,57,14,1,18,0,2,5,1,10,2,6,14,3
2,3.0,69IQ,49,8,2,3,7,19,0,16,0,1,11,8,6
3,4.0,TTM,46,6,5,9,6,3,5,11,0,3,10,20,0
4,5.0,KNG,42,4,4,1,4,11,1,5,5,8,2,9,0
5,6.0,GUILD,40,7,0,12,5,13,5,10,9,5,10,19,0
6,7.0,NMS,37,2,14,13,2,9,0,6,1,13,1,10,1
7,8.0,FV,36,18,0,2,16,15,1,9,3,7,1,16,0
8,9.0,MYZ,32,20,0,17,0,6,0,19,0,14,1,1,15
9,10.0,SZ.EU,31,11,7,16,2,14,1,13,0,17,2,2,7
10,11.0,789,31,9,0,4,2,10,4,7,1,19,1,3,4
11,12.0,RBL,31,3,2,19,0,7,1,2,3,11,0,6,2
12,13.0,TD,30,5,7,6,4,8,2,14,5,18,2,18,0
13,14.0,MP,29,1,6,20,0,20,0,12,0,10,2,15,5
14,15.0,PXL,19,10,2,7,2,16,5,15,1,15,0,12,1
15,16.0,RD,18,13,0,15,2,4,3,20,0,20,0,11,5
16,17.0,FORG,18,15,2,10,0,5,3,17,3,9,1,17,0
17,18.0,DM,16,19,0,11,1,12,3,18,0,6,2,7,2
18,19.0,SQG,16,17,0,14,0,17,0,8,4,16,0,4,4
19,20.0,RAT,16,16,0,8,1,18,0,3,2,12,0,13,2
