Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NIBL,55,1,13,2,6,11,8,9,4
2.0,NBB,42,17,3,1,11,15,3,3,5
3.0,YK,41,7,6,17,3,1,16,15,0
4.0,UTFT,38,5,6,3,9,3,2,8,1
5.0,Tartau,32,9,5,19,0,13,0,1,12
6.0,Gachi,27,2,6,12,3,12,1,5,2
7.0,TNM,25,6,1,9,0,7,4,6,9
8.0,PS_Esport,24,12,3,15,0,2,10,17,0
9.0,ARIS,24,13,1,8,4,9,2,2,3
10.0,BBG,22,18,0,6,6,4,3,11,4
11.0,KYKLOS,19,11,0,4,2,16,0,4,6
12.0,Sytex,19,3,5,20,0,6,0,10,2
13.0,Dark Synergy,14,8,1,14,0,5,6,18,0
14.0,MAJOR,14,4,0,10,3,8,1,13,0
15.0,EMDA,11,19,0,5,1,14,0,7,2
16.0,Slow,10,20,0,7,6,19,0,16,1
17.0,sexy men,6,14,3,13,0,17,0,14,0
18.0,EGA,5,10,0,16,0,18,0,12,2
19.0,FloWenZ Esports,3,15,0,18,0,10,0,19,0
20.0,DN,2,16,1,11,0,20,0,20,0
