Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ZBW,66,14,0,1,10,2,7,12,2,2,14,15,0
2.0,CG,62,1,14,5,4,9,3,9,4,3,9,14,0
3.0,SYND,50,10,0,3,9,6,3,1,8,12,2,16,3
4.0,Ratio,47,12,1,4,7,4,6,5,5,10,3,5,4
5.0,XD,47,9,1,18,0,3,12,16,0,4,3,2,8
6.0,POLSKA,47,4,8,6,1,1,10,7,3,17,0,11,1
7.0,Better,47,3,7,13,0,10,1,10,2,13,0,1,12
8.0,VEX,37,5,7,11,1,16,0,2,10,14,0,13,3
9.0,Lost,37,2,7,10,3,17,1,4,4,8,0,9,2
10.0,LPOG,31,16,0,7,2,15,1,3,4,9,4,7,4
11.0,Monarchs,29,15,0,20,0,5,0,17,0,11,5,3,11
12.0,drain,28,8,2,17,0,11,1,14,4,1,3,10,0
13.0,Oui,27,13,0,2,7,8,2,11,0,6,0,12,1
14.0,b0ts,21,11,3,15,1,13,3,20,0,7,4,6,1
15.0,HLDC,20,20,0,16,5,14,1,8,6,15,3,18,1
16.0,KRY,18,6,2,9,0,7,5,13,2,18,0,17,0
17.0,FFF,17,18,0,12,3,12,0,6,6,16,0,8,1
18.0,0head genk,10,17,0,19,0,18,0,18,0,5,1,4,0
19.0,SeXy Chonks,8,7,2,14,1,19,0,15,0,19,0,20,0
20.0,TRJ,7,19,0,8,5,20,0,19,0,20,0,20,0
