Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,ZBW,44,6,4,4,10,19,0,2,13,Lobby 1,Quarterfinals,,,,
2.0,BW,41,1,11,6,3,5,1,14,6,Lobby 1,Quarterfinals,,,,
3.0,HYR,41,2,8,7,0,14,2,3,11,Lobby 1,Quarterfinals,,,,
4.0,YK,39,10,4,1,15,13,0,8,3,Lobby 1,Quarterfinals,,,,
5.0,POLSKA,36,7,10,2,5,12,4,6,1,Lobby 1,Quarterfinals,,,,
6.0,BBG,35,5,7,3,8,6,3,13,2,Lobby 1,Quarterfinals,,,,
7.0,BGTTS,31,4,4,18,0,3,10,7,2,Lobby 1,Quarterfinals,,,,
8.0,ILL,29,16,0,12,3,1,12,15,0,Lobby 1,Quarterfinals,,,,
9.0,THROW,28,18,1,11,4,4,1,1,4,Lobby 1,Quarterfinals,,,,
10.0,ROA,24,3,2,8,4,10,1,5,2,Lobby 1,Quarterfinals,,,,
11.0,SSK,23,20,0,16,1,2,13,19,0,Lobby 1,Quarterfinals,,,,
12.0,KRY,18,8,1,10,0,11,1,4,6,Lobby 1,Quarterfinals,,,,
13.0,ZLSTLS,13,9,0,5,1,7,3,18,0,Lobby 1,Quarterfinals,,,,
14.0,ANMS,12,12,5,9,1,18,0,9,1,Lobby 1,Quarterfinals,,,,
15.0,AMRZ,8,15,1,14,0,17,3,12,1,Lobby 1,Quarterfinals,,,,
16.0,FFF,7,19,0,20,0,9,3,16,2,Lobby 1,Quarterfinals,,,,
17.0,DK-V,6,20,0,13,0,15,0,10,2,Lobby 1,Quarterfinals,,,,
18.0,Sytex,6,11,0,19,2,8,0,11,0,Lobby 1,Quarterfinals,,,,
19.0,Veloxity,3,15,0,15,1,20,0,17,0,Lobby 1,Quarterfinals,,,,
20.0,nerv,1,13,0,17,0,16,0,20,0,Lobby 1,Quarterfinals,,,,
1.0,SPPI,64,6,5,5,6,1,11,1,11,Lobby 2,Quarterfinals,,,,
2.0,SNK,54,5,6,1,16,4,3,4,3,Lobby 2,Quarterfinals,,,,
3.0,SZN,49,13,1,6,0,2,13,2,13,Lobby 2,Quarterfinals,,,,
4.0,NIBL,47,2,7,11,10,3,3,3,3,Lobby 2,Quarterfinals,,,,
5.0,KYKLOS,32,7,1,2,3,6,5,6,5,Lobby 2,Quarterfinals,,,,
6.0,TTG,32,1,10,3,3,17,0,17,0,Lobby 2,Quarterfinals,,,,
7.0,PPGIS,23,4,3,13,0,7,4,7,4,Lobby 2,Quarterfinals,,,,
8.0,SLAP,19,11,2,7,5,9,2,9,2,Lobby 2,Quarterfinals,,,,
9.0,SMG,17,15,0,19,0,5,4,5,4,Lobby 2,Quarterfinals,,,,
10.0,TF2P,17,3,3,14,0,8,1,8,1,Lobby 2,Quarterfinals,,,,
11.0,3FR,13,8,5,16,0,16,3,16,3,Lobby 2,Quarterfinals,,,,
