,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 23, 2022 - 17:00 GMTStorm Point Invictus Gaming International Kungarna Natus Vincere","Round 1 Round 1 March 23, 2022 - 17:00 GMTStorm Point Invictus Gaming International Kungarna Natus Vincere","Round 2 Round 2 March 23, 2022 - 17:30 GMTStorm Point Natus Vincere Forg Gang GMT Esports","Round 2 Round 2 March 23, 2022 - 17:30 GMTStorm Point Natus Vincere Forg Gang GMT Esports","Round 3 Round 3 March 23, 2022 - 18:00 GMTStorm Point soloQgoats Vexed Gaming K1CK","Round 3 Round 3 March 23, 2022 - 18:00 GMTStorm Point soloQgoats Vexed Gaming K1CK","Round 4 Round 4 March 23, 2022 - 18:30 GMTWorld's Edge Kungarna K1CK 69iQ esports","Round 4 Round 4 March 23, 2022 - 18:30 GMTWorld's Edge Kungarna K1CK 69iQ esports","Round 5 Round 5 March 23, 2022 - 19:00 GMTWorld's Edge Invictus Gaming International Mutariuum soloQgoats","Round 5 Round 5 March 23, 2022 - 19:00 GMTWorld's Edge Invictus Gaming International Mutariuum soloQgoats","Round 6 Round 6 March 23, 2022 - 19:30 GMTWorld's Edge Forg Gang Mutariuum Invictus Gaming International","Round 6 Round 6 March 23, 2022 - 19:30 GMTWorld's Edge Forg Gang Mutariuum Invictus Gaming International"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,IG,58,1,8,18,0,15,1,10,0,1,11,3,4
1,2.0,K1CK,57,12,4,4,2,3,5,2,13,4,1,15,4
2,3.0,SQG,56,5,2,14,2,1,9,7,4,3,7,5,1
3,4.0,FORG,54,9,0,2,10,12,2,4,6,12,1,1,5
4,5.0,MUT,51,6,3,8,5,19,0,15,3,2,9,2,7
5,6.0,NAVI,45,3,5,1,11,6,4,14,2,18,0,16,0
6,7.0,VXD,44,11,3,11,4,2,4,12,5,17,3,4,8
7,8.0,69IQ,43,7,8,5,6,8,2,3,5,16,0,6,3
8,9.0,KNG,43,2,3,6,3,7,1,1,6,15,0,8,0
9,10.0,GMT,35,14,0,3,4,5,6,17,0,9,5,13,5
10,11.0,TREX,33,4,5,10,3,11,4,13,0,5,3,9,3
11,12.0,HRZN,28,10,5,9,0,4,4,9,0,8,3,14,2
12,13.0,SCTA,20,16,0,16,2,18,0,6,5,10,2,7,3
13,14.0,ACE,17,17,2,12,2,14,0,8,0,11,5,17,3
14,15.0,UND,15,19,0,19,0,16,6,11,3,7,1,12,0
15,16.0,HS,14,18,0,7,2,13,3,5,1,19,0,18,0
16,17.0,HKE,13,15,4,15,0,9,0,19,0,6,1,11,0
17,18.0,RAT,12,13,0,17,0,10,3,16,0,13,0,10,3
18,19.0,789,6,8,0,13,1,17,0,18,0,14,1,19,0
19,20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
