,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 24, 2022 - 17:00 GMTStorm Point Forg Gang Fenerbahçe Esports Acend","Round 1 Round 1 March 24, 2022 - 17:00 GMTStorm Point Forg Gang Fenerbahçe Esports Acend","Round 2 Round 2 March 24, 2022 - 17:30 GMTStorm Point Kungarna soloQgoats Odin Gamers","Round 2 Round 2 March 24, 2022 - 17:30 GMTStorm Point Kungarna soloQgoats Odin Gamers","Round 3 Round 3 March 24, 2022 - 18:00 GMTStorm Point Fenerbahçe Esports soloQgoats ZETA DIVISION","Round 3 Round 3 March 24, 2022 - 18:00 GMTStorm Point Fenerbahçe Esports soloQgoats ZETA DIVISION","Round 4 Round 4 March 24, 2022 - 18:30 GMTWorld's Edge Mutariuum Kungarna Acend","Round 4 Round 4 March 24, 2022 - 18:30 GMTWorld's Edge Mutariuum Kungarna Acend","Round 5 Round 5 March 24, 2022 - 19:00 GMTWorld's Edge GMT Esports Kungarna soloQgoats","Round 5 Round 5 March 24, 2022 - 19:00 GMTWorld's Edge GMT Esports Kungarna soloQgoats","Round 6 Round 6 March 24, 2022 - 19:30 GMTWorld's Edge Horizon (Thai team) ZETA DIVISION Natus Vincere","Round 6 Round 6 March 24, 2022 - 19:30 GMTWorld's Edge Horizon (Thai team) ZETA DIVISION Natus Vincere"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SQG,64,14,7,2,7,2,5,8,2,3,10,5,1
1,2.0,MUT,53,6,3,6,4,12,1,1,15,14,0,8,8
2,3.0,GMT,49,4,11,18,2,17,0,19,0,1,14,12,4
3,4.0,FORG,49,1,8,7,1,4,5,18,3,7,1,4,3
4,5.0,HRZN,45,19,0,5,3,9,1,4,3,9,3,1,10
5,6.0,FB,44,2,6,14,1,1,10,16,0,11,3,14,0
6,7.0,KNG,42,16,0,1,2,8,0,2,5,2,2,11,0
7,8.0,ZETA,40,18,0,13,4,3,6,13,1,12,1,2,9
8,9.0,RASC,38,15,0,9,2,6,5,5,3,5,5,6,6
9,10.0,ALL,33,11,2,11,2,7,10,7,3,16,0,7,5
10,11.0,NAVI,29,7,0,19,0,10,3,15,1,13,7,3,4
11,12.0,OG,29,5,3,3,6,18,0,10,3,8,0,17,2
12,13.0,GUILD,27,17,0,4,14,19,0,9,4,15,1,16,0
13,14.0,ACE,24,3,2,12,2,16,2,3,3,19,0,18,0
14,15.0,NMS,23,8,6,16,0,11,1,6,3,4,2,19,0
15,16.0,1872,20,12,0,10,4,15,0,11,1,6,3,13,3
16,17.0,RBL,16,10,0,17,0,5,3,12,0,10,0,9,2
17,18.0,SCTA,15,9,3,15,0,13,0,14,3,17,1,10,1
18,19.0,MAGI,10,13,0,8,4,14,0,17,0,18,1,15,0
19,20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
